p_c,R,M,e(pc),col2(pc)
2.570926e-07,6.370000e-01,5.921908e-04,5.479350e-04,3.397500e+02
3.063088e-07,2.000000e-03,0.000000e+00,5.480595e-04,3.397806e+02
3.649468e-07,2.000000e-03,0.000000e+00,5.482078e-04,3.398170e+02
4.348099e-07,2.000000e-03,0.000000e+00,5.483845e-04,3.398604e+02
5.180473e-07,2.000000e-03,0.000000e+00,5.485950e-04,3.399121e+02
6.172191e-07,2.000000e-03,0.000000e+00,5.488458e-04,3.399736e+02
7.353758e-07,2.000000e-03,0.000000e+00,5.495415e-04,3.400474e+02
8.761517e-07,2.000000e-03,0.000000e+00,5.506353e-04,3.401357e+02
1.043877e-06,2.000000e-03,0.000000e+00,5.519385e-04,3.402408e+02
1.243710e-06,2.000000e-03,0.000000e+00,5.529974e-04,3.403639e+02
1.481799e-06,1.519000e+00,8.057423e-03,5.542031e-04,3.405105e+02
1.765465e-06,1.654000e+00,1.040811e-02,5.554980e-04,3.406846e+02
2.103435e-06,1.800000e+00,1.343195e-02,5.568679e-04,3.408917e+02
2.506104e-06,1.957000e+00,1.730189e-02,5.606555e-04,3.411356e+02
2.985857e-06,2.125000e+00,2.219398e-02,5.632082e-04,3.414213e+02
3.557452e-06,2.308000e+00,2.850116e-02,5.642543e-04,3.417616e+02
4.238469e-06,2.506000e+00,3.657885e-02,5.663315e-04,3.421722e+02
5.049855e-06,2.720000e+00,4.687216e-02,5.676926e-04,3.426653e+02
6.016569e-06,2.949000e+00,5.993497e-02,5.740521e-04,3.432590e+02
7.168344e-06,3.190000e+00,7.608531e-02,5.788929e-04,3.439454e+02
8.540609e-06,3.445000e+00,9.625685e-02,5.846181e-04,3.447579e+02
1.017557e-05,3.714000e+00,1.211775e-01,5.920261e-04,3.457127e+02
1.212352e-05,3.998000e+00,1.519631e-01,5.993481e-04,3.468506e+02
1.444437e-05,4.293000e+00,1.893529e-01,6.090111e-04,3.481854e+02
1.720952e-05,4.598000e+00,2.344126e-01,6.201848e-04,3.497560e+02
2.050400e-05,4.910000e+00,2.879581e-01,6.322291e-04,3.515515e+02
2.442916e-05,5.230000e+00,3.516230e-01,6.485818e-04,3.537590e+02
2.910573e-05,5.550000e+00,4.249378e-01,6.668436e-04,3.562847e+02
3.467756e-05,5.867000e+00,5.084344e-01,6.890991e-04,3.592252e+02
4.131602e-05,6.177000e+00,6.021716e-01,7.133617e-04,3.626467e+02
4.922531e-05,6.475000e+00,7.054790e-01,7.429862e-04,3.666075e+02
5.864870e-05,6.757000e+00,8.171193e-01,7.777904e-04,3.711776e+02
6.987605e-05,7.019000e+00,9.352246e-01,8.181358e-04,3.764279e+02
8.325270e-05,7.255000e+00,1.057289e+00,8.679363e-04,3.824521e+02
9.919009e-05,7.462000e+00,1.180676e+00,9.253110e-04,3.893096e+02
1.181784e-04,7.639000e+00,1.302792e+00,9.932246e-04,3.970980e+02
1.408018e-04,7.781000e+00,1.419877e+00,1.073377e-03,4.058916e+02
1.677560e-04,7.888000e+00,1.529467e+00,1.168055e-03,4.157775e+02
1.998702e-04,7.961000e+00,1.628841e+00,1.286539e-03,4.268243e+02
2.381322e-04,7.921000e+00,1.642287e+00,1.924385e-03,4.358627e+02
2.837188e-04,7.840000e+00,1.646941e+00,2.103610e-03,4.458450e+02
3.380322e-04,7.736000e+00,1.649734e+00,2.309401e-03,4.569610e+02
4.027430e-04,7.619000e+00,1.651381e+00,2.546410e-03,4.693106e+02
4.798417e-04,7.491000e+00,1.651679e+00,2.820266e-03,4.829993e+02
5.716996e-04,7.355000e+00,1.650078e+00,3.136845e-03,4.981374e+02
6.811423e-04,7.213000e+00,1.646040e+00,3.503920e-03,5.148431e+02
8.115361e-04,7.067000e+00,1.639056e+00,3.929851e-03,5.332408e+02
9.668916e-04,6.917000e+00,1.628797e+00,4.424585e-03,5.534646e+02
1.151988e-03,6.766000e+00,1.615100e+00,4.998714e-03,5.756619e+02
1.372517e-03,6.615000e+00,1.597949e+00,5.663114e-03,6.000000e+02
