p_c,R,M,e(pc),col2(pc)
1.000000e-15,5.000000e+01,5.089145e-06,9.694329e-12,7.869294e-09
1.933000e-15,5.000000e+01,8.323432e-06,1.587338e-11,1.288453e-08
3.736489e-15,5.000000e+01,1.357930e-05,2.591643e-11,2.103540e-08
7.222634e-15,5.000000e+01,2.220688e-05,4.240626e-11,3.441724e-08
1.396135e-14,5.000000e+01,3.640221e-05,6.954594e-11,5.643926e-08
2.698729e-14,5.000000e+01,5.959481e-05,1.139107e-10,9.243359e-08
5.216644e-14,5.000000e+01,9.785074e-05,1.871377e-10,1.518354e-07
1.008377e-13,5.000000e+01,1.612944e-04,3.087035e-10,2.504315e-07
1.949193e-13,5.000000e+01,2.659340e-04,5.094629e-10,4.132225e-07
3.767790e-13,5.000000e+01,4.383293e-04,8.408717e-10,6.818861e-07
7.283139e-13,5.000000e+01,7.268789e-04,1.397418e-09,1.132931e-06
1.407831e-12,5.000000e+01,1.238990e-03,2.389628e-09,1.936784e-06
2.721337e-12,5.000000e+01,2.042767e-03,3.955399e-09,3.204808e-06
5.260345e-12,5.000000e+01,3.360887e-03,6.546231e-09,5.302018e-06
1.016825e-11,5.000000e+01,5.524846e-03,1.084943e-08,8.783526e-06
1.965522e-11,5.000000e+01,9.077793e-03,1.805697e-08,1.461125e-05
3.799354e-11,5.000000e+01,1.526973e-02,3.106293e-08,2.511973e-05
7.344152e-11,5.000000e+01,2.539133e-02,5.312400e-08,4.293004e-05
1.419625e-10,5.000000e+01,4.064533e-02,8.855635e-08,7.150824e-05
2.744134e-10,5.000000e+01,6.620339e-02,1.568173e-07,1.265081e-04
5.304412e-10,5.000000e+01,1.024126e-01,2.694708e-07,2.171682e-04
1.025343e-09,5.000000e+01,1.353858e-01,7.781454e-07,6.259795e-04
1.981988e-09,5.000000e+01,1.460966e-01,1.783777e-06,1.433569e-03
3.831182e-09,5.000000e+01,1.499711e-01,3.333106e-06,2.676870e-03
7.405675e-09,5.000000e+01,1.498808e-01,5.820638e-06,4.671526e-03
1.431517e-08,5.000000e+01,1.466767e-01,9.964115e-06,7.991227e-03
2.767122e-08,5.000000e+01,1.407230e-01,1.674790e-05,1.342115e-02
5.348848e-08,5.000000e+01,1.325473e-01,2.668061e-05,2.136294e-02
1.033932e-07,5.000000e+01,1.233087e-01,3.933576e-05,3.146806e-02
1.998591e-07,5.000000e+01,1.156927e-01,5.902995e-05,4.716786e-02
3.863277e-07,5.000000e+01,1.141133e-01,7.966271e-05,6.357736e-02
7.467714e-07,5.000000e+01,1.357635e-01,1.059961e-04,8.445288e-02
1.443509e-06,2.502400e+01,1.906909e-01,1.388332e-04,1.103617e-01
2.790303e-06,1.692400e+01,2.852368e-01,1.774820e-04,1.406489e-01
5.393656e-06,1.454300e+01,4.443113e-01,2.205670e-04,1.740586e-01
1.042594e-05,1.316400e+01,7.067248e-01,2.701411e-04,2.118985e-01
2.015334e-05,1.296700e+01,1.111383e+00,3.287951e-04,2.555393e-01
3.895640e-05,1.315600e+01,1.668231e+00,4.031105e-04,3.087018e-01
7.530273e-05,1.326200e+01,2.318766e+00,5.042314e-04,3.769175e-01
1.455602e-04,1.318000e+01,2.933124e+00,6.506058e-04,4.673364e-01
2.813678e-04,1.281500e+01,3.371719e+00,8.793175e-04,5.923326e-01
5.438840e-04,1.213300e+01,3.565649e+00,1.259813e-03,7.691184e-01
1.051328e-03,1.138400e+01,3.537634e+00,1.927212e-03,1.023142e+00
2.032217e-03,1.062600e+01,3.363798e+00,3.137729e-03,1.387963e+00
3.928275e-03,9.937000e+00,3.126262e+00,5.375171e-03,1.908236e+00
7.593355e-03,9.468000e+00,2.890053e+00,9.560463e-03,2.645121e+00
1.467796e-02,9.164000e+00,2.698928e+00,1.744641e-02,3.680996e+00
2.837249e-02,9.100000e+00,2.577569e+00,3.238441e-02,5.133479e+00
5.484402e-02,9.211000e+00,2.531485e+00,6.078991e-02,7.164537e+00
1.060135e-01,9.386000e+00,2.545869e+00,1.149698e-01,1.000000e+01
