p_c,R,M,e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,8.205634e-07,1.071434e-11,8.749179e-09,9.249815e+02
1.096522e-15,3.000000e+01,8.806185e-07,1.149858e-11,9.388114e-09,9.252220e+02
1.202360e-15,3.000000e+01,9.440122e-07,1.232609e-11,1.006250e-08,9.254436e+02
1.318414e-15,3.000000e+01,9.986765e-07,1.303991e-11,1.064547e-08,9.254345e+02
1.445670e-15,3.000000e+01,1.058616e-06,1.382264e-11,1.128470e-08,9.254245e+02
1.585208e-15,3.000000e+01,1.124341e-06,1.468091e-11,1.198564e-08,9.254136e+02
1.738215e-15,3.000000e+01,1.196409e-06,1.562203e-11,1.275423e-08,9.254016e+02
1.905991e-15,3.000000e+01,1.275432e-06,1.665398e-11,1.359701e-08,9.253885e+02
2.089960e-15,3.000000e+01,1.362080e-06,1.778554e-11,1.452113e-08,9.253741e+02
2.291687e-15,3.000000e+01,1.457091e-06,1.902632e-11,1.553446e-08,9.253583e+02
2.512885e-15,3.000000e+01,1.561271e-06,2.038686e-11,1.664559e-08,9.253410e+02
2.755433e-15,3.000000e+01,1.675503e-06,2.187872e-11,1.786396e-08,9.253220e+02
3.021392e-15,3.000000e+01,1.800759e-06,2.351458e-11,1.919994e-08,9.253012e+02
3.313022e-15,3.000000e+01,1.921332e-06,2.508828e-11,2.048586e-08,9.252721e+02
3.632801e-15,3.000000e+01,2.036553e-06,2.659303e-11,2.171626e-08,9.252340e+02
3.983445e-15,3.000000e+01,2.162894e-06,2.824301e-11,2.306541e-08,9.251922e+02
4.367935e-15,3.000000e+01,2.301427e-06,3.005226e-11,2.454478e-08,9.251463e+02
4.789535e-15,3.000000e+01,2.453328e-06,3.203614e-11,2.616694e-08,9.250960e+02
5.251830e-15,3.000000e+01,2.619887e-06,3.421150e-11,2.794568e-08,9.250409e+02
5.758746e-15,3.000000e+01,2.802518e-06,3.659684e-11,2.989611e-08,9.249804e+02
6.314590e-15,3.000000e+01,3.002772e-06,3.921241e-11,3.203479e-08,9.249141e+02
6.924086e-15,3.000000e+01,3.222348e-06,4.208044e-11,3.437990e-08,9.248414e+02
7.592411e-15,3.000000e+01,3.463110e-06,4.522530e-11,3.695137e-08,9.247617e+02
8.325244e-15,3.000000e+01,3.725867e-06,4.865482e-11,3.975529e-08,9.246798e+02
9.128811e-15,3.000000e+01,3.952463e-06,5.161450e-11,4.216143e-08,9.248249e+02
1.000994e-14,3.000000e+01,4.200924e-06,5.485985e-11,4.479983e-08,9.249839e+02
1.097612e-14,3.000000e+01,4.473359e-06,5.841844e-11,4.769289e-08,9.251584e+02
1.203555e-14,3.000000e+01,4.772080e-06,6.232052e-11,5.086519e-08,9.253497e+02
1.319724e-14,3.000000e+01,5.099624e-06,6.659923e-11,5.434368e-08,9.255594e+02
1.447107e-14,3.000000e+01,5.458769e-06,7.129093e-11,5.815793e-08,9.257894e+02
1.586784e-14,3.000000e+01,5.852564e-06,7.643548e-11,6.234033e-08,9.260415e+02
1.739943e-14,3.000000e+01,6.284348e-06,8.207659e-11,6.692643e-08,9.263181e+02
1.907885e-14,3.000000e+01,6.757786e-06,8.826220e-11,7.195519e-08,9.266213e+02
2.092038e-14,3.000000e+01,7.276893e-06,9.504484e-11,7.746933e-08,9.269537e+02
2.293965e-14,3.000000e+01,7.757640e-06,1.013172e-10,8.257826e-08,9.270541e+02
2.515383e-14,3.000000e+01,8.244865e-06,1.076828e-10,8.776811e-08,9.270480e+02
2.758172e-14,3.000000e+01,8.779094e-06,1.146627e-10,9.345888e-08,9.270413e+02
3.024395e-14,3.000000e+01,9.364860e-06,1.223164e-10,9.969894e-08,9.270339e+02
3.316315e-14,3.000000e+01,1.000713e-05,1.307088e-10,1.065413e-07,9.270258e+02
3.636412e-14,3.000000e+01,1.071136e-05,1.399113e-10,1.140441e-07,9.270170e+02
3.987405e-14,3.000000e+01,1.148351e-05,1.500020e-10,1.222711e-07,9.270073e+02
4.372276e-14,3.000000e+01,1.233013e-05,1.610667e-10,1.312921e-07,9.269967e+02
4.794296e-14,3.000000e+01,1.325840e-05,1.731993e-10,1.411839e-07,9.269850e+02
5.257050e-14,3.000000e+01,1.427618e-05,1.865031e-10,1.520305e-07,9.269722e+02
5.764470e-14,3.000000e+01,1.540708e-05,2.012904e-10,1.641029e-07,9.268863e+02
6.320867e-14,3.000000e+01,1.666413e-05,2.177255e-10,1.775383e-07,9.267128e+02
6.930968e-14,3.000000e+01,1.804236e-05,2.357469e-10,1.922704e-07,9.265225e+02
7.599957e-14,3.000000e+01,1.935738e-05,2.528955e-10,2.062519e-07,9.264997e+02
8.333519e-14,3.000000e+01,2.063922e-05,2.696538e-10,2.198818e-07,9.266201e+02
