p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
2.674114e-06,1.625000e+00,8.389211e-03,6.902461e-04,2.333162e+00,3.560000e+02,0.000000e+00,2.130459e-01,1.000000e+00
2.744216e-06,1.645000e+00,8.716211e-03,6.905822e-04,2.334326e+00,3.560413e+02,0.000000e+00,2.134085e-01,1.000000e+00
2.816155e-06,1.665000e+00,9.038042e-03,6.909271e-04,2.335520e+00,3.560836e+02,0.000000e+00,2.137805e-01,1.000000e+00
2.889981e-06,1.685000e+00,9.367738e-03,6.912810e-04,2.336746e+00,3.561271e+02,0.000000e+00,2.141623e-01,1.000000e+00
2.965741e-06,1.705000e+00,9.705407e-03,6.916443e-04,2.338003e+00,3.561716e+02,0.000000e+00,2.145542e-01,1.000000e+00
3.043488e-06,1.730000e+00,1.013881e-02,6.920170e-04,2.339294e+00,3.562174e+02,0.000000e+00,2.149563e-01,1.000000e+00
3.123273e-06,1.750000e+00,1.049478e-02,6.923995e-04,2.340618e+00,3.562644e+02,0.000000e+00,2.153689e-01,1.000000e+00
3.205149e-06,1.775000e+00,1.093593e-02,6.927921e-04,2.341977e+00,3.563126e+02,0.000000e+00,2.157924e-01,1.000000e+00
3.289172e-06,1.795000e+00,1.132616e-02,6.931949e-04,2.343372e+00,3.563620e+02,0.000000e+00,2.162270e-01,1.000000e+00
3.375398e-06,1.820000e+00,1.179034e-02,6.936083e-04,2.344803e+00,3.564128e+02,0.000000e+00,2.166729e-01,1.000000e+00
3.463884e-06,1.840000e+00,1.220075e-02,6.940325e-04,2.346272e+00,3.564648e+02,0.000000e+00,2.171306e-01,1.000000e+00
3.554689e-06,1.865000e+00,1.270563e-02,6.944679e-04,2.347779e+00,3.565183e+02,0.000000e+00,2.176002e-01,1.000000e+00
3.647875e-06,1.890000e+00,1.320689e-02,6.949147e-04,2.349326e+00,3.565731e+02,0.000000e+00,2.180822e-01,1.000000e+00
3.743504e-06,1.910000e+00,1.364978e-02,6.953731e-04,2.350914e+00,3.566294e+02,0.000000e+00,2.185768e-01,1.000000e+00
3.841640e-06,1.935000e+00,1.419406e-02,6.958436e-04,2.352543e+00,3.566872e+02,0.000000e+00,2.190843e-01,1.000000e+00
3.942348e-06,1.960000e+00,1.475279e-02,6.963265e-04,2.354214e+00,3.567465e+02,0.000000e+00,2.196052e-01,1.000000e+00
4.045697e-06,1.985000e+00,1.532618e-02,6.968220e-04,2.355930e+00,3.568073e+02,0.000000e+00,2.201397e-01,1.000000e+00
4.151754e-06,2.010000e+00,1.591444e-02,6.973304e-04,2.357690e+00,3.568697e+02,0.000000e+00,2.206883e-01,1.000000e+00
4.260592e-06,2.035000e+00,1.651778e-02,6.978523e-04,2.359497e+00,3.569338e+02,0.000000e+00,2.212512e-01,1.000000e+00
4.372284e-06,2.060000e+00,1.713641e-02,6.983877e-04,2.361351e+00,3.569995e+02,0.000000e+00,2.218288e-01,1.000000e+00
4.486903e-06,2.085000e+00,1.777056e-02,6.989373e-04,2.363254e+00,3.570670e+02,0.000000e+00,2.224216e-01,1.000000e+00
4.604527e-06,2.110000e+00,1.842044e-02,6.995012e-04,2.365206e+00,3.571362e+02,0.000000e+00,2.230300e-01,1.000000e+00
4.725234e-06,2.135000e+00,1.908628e-02,7.000799e-04,2.367210e+00,3.572073e+02,0.000000e+00,2.236543e-01,1.000000e+00
4.849106e-06,2.160000e+00,1.976828e-02,7.006738e-04,2.369266e+00,3.572802e+02,0.000000e+00,2.242950e-01,1.000000e+00
4.976225e-06,2.190000e+00,2.060724e-02,7.012833e-04,2.371376e+00,3.573550e+02,0.000000e+00,2.249524e-01,1.000000e+00
5.106677e-06,2.215000e+00,2.132552e-02,7.019087e-04,2.373542e+00,3.574318e+02,0.000000e+00,2.256271e-01,1.000000e+00
5.240548e-06,2.240000e+00,2.206069e-02,7.025505e-04,2.375764e+00,3.575106e+02,0.000000e+00,2.263195e-01,1.000000e+00
5.377929e-06,2.270000e+00,2.296402e-02,7.032092e-04,2.378044e+00,3.575914e+02,0.000000e+00,2.270300e-01,1.000000e+00
5.518911e-06,2.295000e+00,2.373706e-02,7.038851e-04,2.380385e+00,3.576744e+02,0.000000e+00,2.277592e-01,1.000000e+00
5.663589e-06,2.325000e+00,2.468619e-02,7.045787e-04,2.382786e+00,3.577596e+02,0.000000e+00,2.285075e-01,1.000000e+00
5.812059e-06,2.355000e+00,2.563362e-02,7.052906e-04,2.385251e+00,3.578470e+02,0.000000e+00,2.292754e-01,1.000000e+00
5.964422e-06,2.380000e+00,2.649447e-02,7.060210e-04,2.387780e+00,3.579366e+02,0.000000e+00,2.300634e-01,1.000000e+00
6.120779e-06,2.410000e+00,2.751689e-02,7.067560e-04,2.390328e+00,3.580280e+02,0.000000e+00,2.308207e-01,1.000000e+00
6.281235e-06,2.440000e+00,2.856587e-02,7.074769e-04,2.392836e+00,3.581204e+02,0.000000e+00,2.314815e-01,1.000000e+00
6.445897e-06,2.470000e+00,2.964182e-02,7.082167e-04,2.395410e+00,3.582151e+02,0.000000e+00,2.321595e-01,1.000000e+00
6.614876e-06,2.500000e+00,3.071452e-02,7.089758e-04,2.398051e+00,3.583124e+02,0.000000e+00,2.328554e-01,1.000000e+00
6.788285e-06,2.530000e+00,3.184485e-02,7.097549e-04,2.400761e+00,3.584121e+02,0.000000e+00,2.335694e-01,1.000000e+00
6.966240e-06,2.560000e+00,3.300333e-02,7.105544e-04,2.403542e+00,3.585146e+02,0.000000e+00,2.343022e-01,1.000000e+00
7.148859e-06,2.590000e+00,3.419040e-02,7.113749e-04,2.406397e+00,3.586196e+02,0.000000e+00,2.350543e-01,1.000000e+00
7.336266e-06,2.620000e+00,3.544007e-02,7.122169e-04,2.409326e+00,3.587275e+02,0.000000e+00,2.358260e-01,1.000000e+00
7.528586e-06,2.650000e+00,3.668635e-02,7.130809e-04,2.412332e+00,3.588382e+02,0.000000e+00,2.366179e-01,1.000000e+00
7.725948e-06,2.680000e+00,3.796250e-02,7.139676e-04,2.415416e+00,3.589517e+02,0.000000e+00,2.374306e-01,1.000000e+00
7.928483e-06,2.715000e+00,3.944900e-02,7.148776e-04,2.418582e+00,3.590683e+02,0.000000e+00,2.382647e-01,1.000000e+00
8.136328e-06,2.745000e+00,4.082714e-02,7.158114e-04,2.421831e+00,3.591879e+02,0.000000e+00,2.391205e-01,1.000000e+00
8.349621e-06,2.775000e+00,4.220049e-02,7.167697e-04,2.425164e+00,3.593106e+02,0.000000e+00,2.399989e-01,1.000000e+00
