p_c,R,M,e(pc),col2(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02
1.098763e-15,3.000000e+01,5.785541e-07,7.554036e-12,9.210352e+02
1.207281e-15,3.000000e+01,6.335961e-07,8.272750e-12,9.211539e+02
1.326516e-15,3.000000e+01,6.940736e-07,9.062448e-12,9.212843e+02
1.457528e-15,3.000000e+01,7.605232e-07,9.930138e-12,9.214276e+02
1.601478e-15,3.000000e+01,8.335346e-07,1.088352e-11,9.215850e+02
1.759646e-15,3.000000e+01,9.137557e-07,1.193107e-11,9.217580e+02
1.933434e-15,3.000000e+01,1.001898e-06,1.308208e-11,9.219481e+02
2.124387e-15,3.000000e+01,1.098744e-06,1.434676e-11,9.221569e+02
2.334199e-15,3.000000e+01,1.205153e-06,1.573635e-11,9.223864e+02
2.564732e-15,3.000000e+01,1.322068e-06,1.726317e-11,9.226386e+02
2.818034e-15,3.000000e+01,1.450528e-06,1.894080e-11,9.229156e+02
3.096353e-15,3.000000e+01,1.591671e-06,2.078411e-11,9.232200e+02
3.402160e-15,3.000000e+01,1.746749e-06,2.280947e-11,9.235545e+02
3.738169e-15,3.000000e+01,1.917137e-06,2.503486e-11,9.239220e+02
4.107363e-15,3.000000e+01,2.104347e-06,2.748004e-11,9.243258e+02
4.513021e-15,3.000000e+01,2.310039e-06,3.016672e-11,9.247695e+02
4.958742e-15,3.000000e+01,2.472031e-06,3.227602e-11,9.250937e+02
5.448485e-15,3.000000e+01,2.508819e-06,3.275635e-11,9.250939e+02
5.986596e-15,3.000000e+01,2.549240e-06,3.328413e-11,9.250941e+02
6.577853e-15,3.000000e+01,2.593653e-06,3.386403e-11,9.250943e+02
7.227504e-15,3.000000e+01,2.642452e-06,3.450120e-11,9.250946e+02
7.941317e-15,3.000000e+01,2.696070e-06,3.520130e-11,9.250949e+02
8.725629e-15,3.000000e+01,2.754985e-06,3.597055e-11,9.250952e+02
9.587403e-15,3.000000e+01,2.819717e-06,3.681576e-11,9.250955e+02
1.053429e-14,3.000000e+01,2.890843e-06,3.774446e-11,9.250959e+02
1.157469e-14,3.000000e+01,2.968993e-06,3.876488e-11,9.250963e+02
1.271785e-14,3.000000e+01,3.054862e-06,3.988607e-11,9.250967e+02
1.397391e-14,3.000000e+01,3.149210e-06,4.111800e-11,9.250972e+02
1.535402e-14,3.000000e+01,3.252877e-06,4.247160e-11,9.250978e+02
