p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
7.066520e-07,8.700000e-01,1.240483e-03,6.640600e-04,2.126869e+00,3.360000e+02,0.000000e+00,2.354132e-01,1.000000e+00
7.256282e-07,8.850000e-01,1.302070e-03,6.641541e-04,2.127178e+00,3.360116e+02,0.000000e+00,2.354132e-01,1.000000e+00
7.451139e-07,8.950000e-01,1.350525e-03,6.642508e-04,2.127494e+00,3.360235e+02,0.000000e+00,2.354132e-01,1.000000e+00
7.651230e-07,9.050000e-01,1.396305e-03,6.643501e-04,2.127820e+00,3.360358e+02,0.000000e+00,2.354132e-01,1.000000e+00
7.856693e-07,9.200000e-01,1.466898e-03,6.644520e-04,2.128154e+00,3.360483e+02,0.000000e+00,2.354132e-01,1.000000e+00
8.067674e-07,9.300000e-01,1.515262e-03,6.645567e-04,2.128497e+00,3.360612e+02,0.000000e+00,2.354132e-01,1.000000e+00
8.284320e-07,9.450000e-01,1.585576e-03,6.646641e-04,2.128849e+00,3.360745e+02,0.000000e+00,2.354132e-01,1.000000e+00
8.506785e-07,9.550000e-01,1.640802e-03,6.647745e-04,2.129211e+00,3.360881e+02,0.000000e+00,2.354132e-01,1.000000e+00
8.735223e-07,9.700000e-01,1.714927e-03,6.648878e-04,2.129583e+00,3.361020e+02,0.000000e+00,2.354132e-01,1.000000e+00
8.969795e-07,9.800000e-01,1.773110e-03,6.650042e-04,2.129964e+00,3.361164e+02,0.000000e+00,2.354132e-01,1.000000e+00
9.210667e-07,9.950000e-01,1.855810e-03,6.651237e-04,2.130356e+00,3.361311e+02,0.000000e+00,2.354132e-01,1.000000e+00
9.458007e-07,1.005000e+00,1.912366e-03,6.652464e-04,2.130758e+00,3.361462e+02,0.000000e+00,2.354132e-01,1.000000e+00
9.711989e-07,1.020000e+00,1.999321e-03,6.653724e-04,2.131171e+00,3.361618e+02,0.000000e+00,2.354132e-01,1.000000e+00
9.972791e-07,1.035000e+00,2.088879e-03,6.655018e-04,2.131595e+00,3.361777e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.024060e-06,1.045000e+00,2.150075e-03,6.656346e-04,2.132031e+00,3.361941e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.051559e-06,1.060000e+00,2.244064e-03,6.657710e-04,2.132478e+00,3.362109e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.079798e-06,1.075000e+00,2.340761e-03,6.659111e-04,2.132937e+00,3.362282e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.108794e-06,1.090000e+00,2.440206e-03,6.660550e-04,2.133408e+00,3.362459e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.138569e-06,1.105000e+00,2.542439e-03,6.662027e-04,2.133893e+00,3.362641e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.169144e-06,1.120000e+00,2.647499e-03,6.663544e-04,2.134390e+00,3.362828e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.200540e-06,1.135000e+00,2.749360e-03,6.665101e-04,2.134900e+00,3.363020e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.232779e-06,1.150000e+00,2.860033e-03,6.666700e-04,2.135425e+00,3.363217e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.265883e-06,1.165000e+00,2.973652e-03,6.668343e-04,2.135963e+00,3.363420e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.299877e-06,1.180000e+00,3.096814e-03,6.670029e-04,2.136516e+00,3.363628e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.334783e-06,1.195000e+00,3.216613e-03,6.671761e-04,2.137083e+00,3.363841e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.370627e-06,1.210000e+00,3.339480e-03,6.673539e-04,2.137666e+00,3.364060e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.407433e-06,1.225000e+00,3.465457e-03,6.675365e-04,2.138265e+00,3.364286e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.445228e-06,1.240000e+00,3.594584e-03,6.677240e-04,2.138879e+00,3.364517e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.484038e-06,1.260000e+00,3.764110e-03,6.679165e-04,2.139510e+00,3.364754e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.523890e-06,1.275000e+00,3.908212e-03,6.681142e-04,2.140159e+00,3.364998e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.564812e-06,1.290000e+00,4.048125e-03,6.683172e-04,2.140824e+00,3.365248e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.606833e-06,1.310000e+00,4.231593e-03,6.685257e-04,2.141507e+00,3.365505e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.649982e-06,1.325000e+00,4.387404e-03,6.687397e-04,2.142209e+00,3.365769e+02,0.000000e+00,2.354132e-01,1.000000e+00
1.694290e-06,1.340000e+00,4.538561e-03,6.689595e-04,2.142930e+00,3.366040e+02,0.000000e+00,2.354132e-01,1.000000e+00
