p_c,R,M,e(pc),col2(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02
1.099411e-15,3.000000e+01,5.788826e-07,7.558326e-12,9.210359e+02
1.208705e-15,3.000000e+01,6.343182e-07,8.282180e-12,9.211554e+02
1.328864e-15,3.000000e+01,6.952641e-07,9.077993e-12,9.212868e+02
1.460967e-15,3.000000e+01,7.622678e-07,9.952919e-12,9.214313e+02
1.606204e-15,3.000000e+01,8.359314e-07,1.091482e-11,9.215902e+02
1.765878e-15,3.000000e+01,9.169168e-07,1.197235e-11,9.217648e+02
1.941426e-15,3.000000e+01,1.005952e-06,1.313501e-11,9.219568e+02
2.134426e-15,3.000000e+01,1.103835e-06,1.441324e-11,9.221679e+02
2.346611e-15,3.000000e+01,1.211448e-06,1.581855e-11,9.224000e+02
2.579891e-15,3.000000e+01,1.329756e-06,1.736357e-11,9.226551e+02
2.836361e-15,3.000000e+01,1.459822e-06,1.906217e-11,9.229357e+02
3.118326e-15,3.000000e+01,1.602814e-06,2.092964e-11,9.232441e+02
3.428323e-15,3.000000e+01,1.760016e-06,2.298275e-11,9.235831e+02
3.769136e-15,3.000000e+01,1.932840e-06,2.523996e-11,9.239559e+02
4.143830e-15,3.000000e+01,2.122839e-06,2.772156e-11,9.243657e+02
4.555773e-15,3.000000e+01,2.331717e-06,3.044987e-11,9.248162e+02
5.008668e-15,3.000000e+01,2.475781e-06,3.232499e-11,9.250937e+02
5.506585e-15,3.000000e+01,2.513183e-06,3.281334e-11,9.250939e+02
6.054001e-15,3.000000e+01,2.554303e-06,3.335024e-11,9.250941e+02
6.655836e-15,3.000000e+01,2.599510e-06,3.394051e-11,9.250944e+02
7.317501e-15,3.000000e+01,2.649212e-06,3.458947e-11,9.250946e+02
8.044942e-15,3.000000e+01,2.703854e-06,3.530293e-11,9.250949e+02
8.844699e-15,3.000000e+01,2.763929e-06,3.608733e-11,9.250952e+02
9.723960e-15,3.000000e+01,2.829975e-06,3.694970e-11,9.250956e+02
1.069063e-14,3.000000e+01,2.902587e-06,3.789780e-11,9.250959e+02
