p_c,R(code units),M(Msun),e(pc),col2(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02
1.095354e-15,3.000000e+01,5.768248e-07,7.531455e-12,9.210314e+02
1.199800e-15,3.000000e+01,6.298018e-07,8.223205e-12,9.211457e+02
1.314206e-15,3.000000e+01,6.878297e-07,8.980917e-12,9.212708e+02
1.439521e-15,3.000000e+01,7.513901e-07,9.810879e-12,9.214079e+02
1.576785e-15,3.000000e+01,8.210103e-07,1.071998e-11,9.215580e+02
1.727138e-15,3.000000e+01,8.972680e-07,1.171577e-11,9.217225e+02
1.891827e-15,3.000000e+01,9.807959e-07,1.280651e-11,9.219026e+02
2.072221e-15,3.000000e+01,1.072287e-06,1.400126e-11,9.220999e+02
2.269815e-15,3.000000e+01,1.172500e-06,1.530993e-11,9.223160e+02
2.486251e-15,3.000000e+01,1.282267e-06,1.674339e-11,9.225527e+02
2.723325e-15,3.000000e+01,1.402497e-06,1.831353e-11,9.228120e+02
2.983005e-15,3.000000e+01,1.534189e-06,2.003340e-11,9.230960e+02
3.267446e-15,3.000000e+01,1.678435e-06,2.191726e-11,9.234072e+02
3.579011e-15,3.000000e+01,1.836430e-06,2.398075e-11,9.237479e+02
3.920284e-15,3.000000e+01,2.009484e-06,2.624101e-11,9.241212e+02
4.294098e-15,3.000000e+01,2.199034e-06,2.871679e-11,9.245300e+02
4.703558e-15,3.000000e+01,2.406650e-06,3.142865e-11,9.249779e+02
5.152061e-15,3.000000e+01,2.486552e-06,3.246562e-11,9.250938e+02
5.643330e-15,3.000000e+01,2.523455e-06,3.294746e-11,9.250940e+02
6.181444e-15,3.000000e+01,2.563876e-06,3.347523e-11,9.250942e+02
6.770870e-15,3.000000e+01,2.608151e-06,3.405334e-11,9.250944e+02
7.416499e-15,3.000000e+01,2.656648e-06,3.468656e-11,9.250947e+02
8.123692e-15,3.000000e+01,2.709770e-06,3.538017e-11,9.250949e+02
8.898319e-15,3.000000e+01,2.767956e-06,3.613992e-11,9.250952e+02
