p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
5.338696e-08,9.400000e+00,3.976832e-02,1.687827e-05,4.915181e-02,3.140000e+02,0.000000e+00,-9.468833e-01,1.000000e+00
5.513865e-08,9.535000e+00,4.151062e-02,1.769882e-05,5.156662e-02,3.140186e+02,0.000000e+00,-9.380469e-01,1.000000e+00
5.694782e-08,9.655000e+00,4.311549e-02,1.854629e-05,5.406065e-02,3.140378e+02,0.000000e+00,-9.289207e-01,1.000000e+00
5.881636e-08,9.755000e+00,4.450375e-02,1.942157e-05,5.663652e-02,3.140577e+02,0.000000e+00,-9.194949e-01,1.000000e+00
6.074620e-08,9.845000e+00,4.579923e-02,2.032557e-05,5.929691e-02,3.140782e+02,0.000000e+00,-9.097600e-01,1.000000e+00
6.273936e-08,9.920000e+00,4.692389e-02,2.125923e-05,6.204459e-02,3.140994e+02,0.000000e+00,-8.997056e-01,1.000000e+00
6.479791e-08,9.990000e+00,4.799898e-02,2.222353e-05,6.488242e-02,3.141212e+02,0.000000e+00,-8.893213e-01,1.000000e+00
6.692402e-08,1.004500e+01,4.891147e-02,2.321946e-05,6.781336e-02,3.141438e+02,0.000000e+00,-8.785963e-01,1.000000e+00
6.911988e-08,1.009500e+01,4.976357e-02,2.424808e-05,7.084048e-02,3.141671e+02,0.000000e+00,-8.675193e-01,1.000000e+00
7.138779e-08,1.013500e+01,5.049007e-02,2.531044e-05,7.396691e-02,3.141912e+02,0.000000e+00,-8.560790e-01,1.000000e+00
7.373012e-08,1.017000e+01,5.116051e-02,2.640766e-05,7.719593e-02,3.142161e+02,0.000000e+00,-8.442632e-01,1.000000e+00
7.614929e-08,1.020000e+01,5.177210e-02,2.754088e-05,8.053090e-02,3.142418e+02,0.000000e+00,-8.320598e-01,1.000000e+00
7.864785e-08,1.022500e+01,5.232231e-02,2.871129e-05,8.397529e-02,3.142684e+02,0.000000e+00,-8.194560e-01,1.000000e+00
8.122839e-08,1.024500e+01,5.280885e-02,2.992009e-05,8.753270e-02,3.142958e+02,0.000000e+00,-8.064386e-01,1.000000e+00
8.389359e-08,1.026000e+01,5.322970e-02,3.116856e-05,9.120682e-02,3.143241e+02,0.000000e+00,-7.929941e-01,1.000000e+00
8.664625e-08,1.027500e+01,5.365891e-02,3.245800e-05,9.500151e-02,3.143533e+02,0.000000e+00,-7.791084e-01,1.000000e+00
8.948923e-08,1.028000e+01,5.394350e-02,3.378974e-05,9.892070e-02,3.143835e+02,0.000000e+00,-7.647672e-01,1.000000e+00
9.242548e-08,1.028500e+01,5.423389e-02,3.516517e-05,1.029685e-01,3.144147e+02,0.000000e+00,-7.499554e-01,1.000000e+00
9.545808e-08,1.029000e+01,5.452916e-02,3.658574e-05,1.071491e-01,3.144470e+02,0.000000e+00,-7.346576e-01,1.000000e+00
9.859018e-08,1.029000e+01,5.475241e-02,3.805292e-05,1.114668e-01,3.144802e+02,0.000000e+00,-7.188579e-01,1.000000e+00
1.018251e-07,1.028500e+01,5.490286e-02,3.956824e-05,1.159263e-01,3.145146e+02,0.000000e+00,-7.025397e-01,1.000000e+00
1.051661e-07,1.028000e+01,5.505587e-02,4.113327e-05,1.205320e-01,3.145501e+02,0.000000e+00,-6.856862e-01,1.000000e+00
1.086167e-07,1.027500e+01,5.521078e-02,4.274966e-05,1.252889e-01,3.145867e+02,0.000000e+00,-6.682796e-01,1.000000e+00
