p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
4.047846e-07,8.350000e-01,8.653896e-04,5.239942e-04,1.400199e+00,2.800000e+02,0.000000e+00,2.313111e-01,1.000000e+00
4.166178e-07,8.500000e-01,9.101855e-04,5.240653e-04,1.400395e+00,2.800091e+02,0.000000e+00,2.313111e-01,1.000000e+00
4.287969e-07,8.600000e-01,9.454710e-04,5.241384e-04,1.400597e+00,2.800186e+02,0.000000e+00,2.313111e-01,1.000000e+00
4.413320e-07,8.750000e-01,9.929686e-04,5.242137e-04,1.400804e+00,2.800282e+02,0.000000e+00,2.313111e-01,1.000000e+00
4.542336e-07,8.850000e-01,1.030352e-03,5.242912e-04,1.401018e+00,2.800382e+02,0.000000e+00,2.313111e-01,1.000000e+00
4.675124e-07,9.000000e-01,1.080632e-03,5.243709e-04,1.401238e+00,2.800485e+02,0.000000e+00,2.313111e-01,1.000000e+00
4.811793e-07,9.100000e-01,1.120176e-03,5.244530e-04,1.401464e+00,2.800590e+02,0.000000e+00,2.313111e-01,1.000000e+00
4.952458e-07,9.250000e-01,1.176499e-03,5.245375e-04,1.401697e+00,2.800699e+02,0.000000e+00,2.313111e-01,1.000000e+00
5.097234e-07,9.400000e-01,1.231399e-03,5.246244e-04,1.401936e+00,2.800811e+02,0.000000e+00,2.313111e-01,1.000000e+00
5.246243e-07,9.500000e-01,1.274528e-03,5.247139e-04,1.402183e+00,2.800926e+02,0.000000e+00,2.313111e-01,1.000000e+00
5.399608e-07,9.650000e-01,1.335882e-03,5.248060e-04,1.402437e+00,2.801045e+02,0.000000e+00,2.313111e-01,1.000000e+00
5.557457e-07,9.800000e-01,1.399178e-03,5.249008e-04,1.402698e+00,2.801167e+02,0.000000e+00,2.313111e-01,1.000000e+00
5.719919e-07,9.950000e-01,1.460769e-03,5.249984e-04,1.402967e+00,2.801292e+02,0.000000e+00,2.313111e-01,1.000000e+00
5.887131e-07,1.005000e+00,1.509089e-03,5.250988e-04,1.403243e+00,2.801422e+02,0.000000e+00,2.313111e-01,1.000000e+00
6.059232e-07,1.020000e+00,1.577720e-03,5.252022e-04,1.403528e+00,2.801555e+02,0.000000e+00,2.313111e-01,1.000000e+00
6.236363e-07,1.035000e+00,1.648407e-03,5.253086e-04,1.403821e+00,2.801691e+02,0.000000e+00,2.313111e-01,1.000000e+00
6.418672e-07,1.050000e+00,1.721181e-03,5.254181e-04,1.404123e+00,2.801832e+02,0.000000e+00,2.313111e-01,1.000000e+00
6.606311e-07,1.065000e+00,1.796075e-03,5.255307e-04,1.404434e+00,2.801977e+02,0.000000e+00,2.313111e-01,1.000000e+00
6.799436e-07,1.080000e+00,1.873119e-03,5.256467e-04,1.404753e+00,2.802127e+02,0.000000e+00,2.313111e-01,1.000000e+00
6.998205e-07,1.095000e+00,1.952345e-03,5.257661e-04,1.405082e+00,2.802280e+02,0.000000e+00,2.313111e-01,1.000000e+00
7.202786e-07,1.115000e+00,2.056760e-03,5.258890e-04,1.405421e+00,2.802438e+02,0.000000e+00,2.313111e-01,1.000000e+00
7.413347e-07,1.130000e+00,2.145814e-03,5.260154e-04,1.405769e+00,2.802601e+02,0.000000e+00,2.313111e-01,1.000000e+00
7.630064e-07,1.145000e+00,2.232534e-03,5.261456e-04,1.406128e+00,2.802769e+02,0.000000e+00,2.313111e-01,1.000000e+00
7.853116e-07,1.160000e+00,2.321575e-03,5.262795e-04,1.406497e+00,2.802941e+02,0.000000e+00,2.313111e-01,1.000000e+00
8.082688e-07,1.180000e+00,2.438707e-03,5.264174e-04,1.406877e+00,2.803118e+02,0.000000e+00,2.313111e-01,1.000000e+00
8.318972e-07,1.195000e+00,2.538449e-03,5.265593e-04,1.407268e+00,2.803301e+02,0.000000e+00,2.313111e-01,1.000000e+00
8.562163e-07,1.210000e+00,2.635444e-03,5.267054e-04,1.407671e+00,2.803489e+02,0.000000e+00,2.313111e-01,1.000000e+00
8.812463e-07,1.230000e+00,2.768494e-03,5.268557e-04,1.408085e+00,2.803682e+02,0.000000e+00,2.313111e-01,1.000000e+00
9.070080e-07,1.245000e+00,2.871267e-03,5.270104e-04,1.408511e+00,2.803881e+02,0.000000e+00,2.313111e-01,1.000000e+00
9.335229e-07,1.265000e+00,3.012114e-03,5.271697e-04,1.408950e+00,2.804086e+02,0.000000e+00,2.313111e-01,1.000000e+00
9.608128e-07,1.285000e+00,3.151379e-03,5.273335e-04,1.409402e+00,2.804297e+02,0.000000e+00,2.313111e-01,1.000000e+00
9.889005e-07,1.300000e+00,3.269717e-03,5.275022e-04,1.409867e+00,2.804514e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.017809e-06,1.320000e+00,3.423280e-03,5.276759e-04,1.410345e+00,2.804738e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.047563e-06,1.340000e+00,3.581605e-03,5.278545e-04,1.410837e+00,2.804968e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.078187e-06,1.360000e+00,3.737893e-03,5.280385e-04,1.411344e+00,2.805204e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.109706e-06,1.375000e+00,3.870534e-03,5.282278e-04,1.411866e+00,2.805448e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.142146e-06,1.395000e+00,4.042364e-03,5.284226e-04,1.412403e+00,2.805699e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.175535e-06,1.415000e+00,4.219244e-03,5.286231e-04,1.412955e+00,2.805957e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.209900e-06,1.435000e+00,4.401252e-03,5.288295e-04,1.413524e+00,2.806222e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.245269e-06,1.455000e+00,4.588466e-03,5.290419e-04,1.414109e+00,2.806496e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.281672e-06,1.475000e+00,4.780964e-03,5.292605e-04,1.414712e+00,2.806777e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.319140e-06,1.500000e+00,5.020466e-03,5.294856e-04,1.415332e+00,2.807067e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.357703e-06,1.520000e+00,5.233477e-03,5.297172e-04,1.415970e+00,2.807365e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.397393e-06,1.540000e+00,5.443670e-03,5.299555e-04,1.416627e+00,2.807671e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.438243e-06,1.560000e+00,5.659485e-03,5.302009e-04,1.417303e+00,2.807987e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.480288e-06,1.585000e+00,5.936844e-03,5.304534e-04,1.417999e+00,2.808312e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.523562e-06,1.605000e+00,6.165573e-03,5.307133e-04,1.418715e+00,2.808647e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.568100e-06,1.630000e+00,6.459250e-03,5.309807e-04,1.419452e+00,2.808991e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.613941e-06,1.650000e+00,6.701302e-03,5.312561e-04,1.420211e+00,2.809345e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.661122e-06,1.675000e+00,7.011802e-03,5.315394e-04,1.420992e+00,2.809710e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.709682e-06,1.700000e+00,7.331844e-03,5.318310e-04,1.421795e+00,2.810085e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.759662e-06,1.725000e+00,7.650527e-03,5.321312e-04,1.422623e+00,2.810471e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.811102e-06,1.745000e+00,7.933091e-03,5.324401e-04,1.423474e+00,2.810869e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.864047e-06,1.770000e+00,8.280738e-03,5.327581e-04,1.424350e+00,2.811278e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.918539e-06,1.795000e+00,8.638531e-03,5.330854e-04,1.425252e+00,2.811699e+02,0.000000e+00,2.313111e-01,1.000000e+00
1.974624e-06,1.820000e+00,9.006629e-03,5.334222e-04,1.426180e+00,2.812133e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.032349e-06,1.845000e+00,9.385197e-03,5.337689e-04,1.427136e+00,2.812579e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.091761e-06,1.870000e+00,9.774397e-03,5.341257e-04,1.428119e+00,2.813038e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.152910e-06,1.900000e+00,1.024126e-02,5.344929e-04,1.429131e+00,2.813511e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.215847e-06,1.925000e+00,1.066777e-02,5.348709e-04,1.430173e+00,2.813997e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.280623e-06,1.950000e+00,1.109203e-02,5.352600e-04,1.431245e+00,2.814498e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.347294e-06,1.980000e+00,1.160026e-02,5.356604e-04,1.432348e+00,2.815013e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.415913e-06,2.005000e+00,1.206415e-02,5.360725e-04,1.433484e+00,2.815543e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.486538e-06,2.035000e+00,1.260192e-02,5.364966e-04,1.434652e+00,2.816089e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.559228e-06,2.060000e+00,1.309253e-02,5.369332e-04,1.435855e+00,2.816651e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.634042e-06,2.090000e+00,1.367702e-02,5.373825e-04,1.437094e+00,2.817229e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.711044e-06,2.120000e+00,1.426226e-02,5.378449e-04,1.438368e+00,2.817824e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.790297e-06,2.145000e+00,1.479581e-02,5.383209e-04,1.439680e+00,2.818437e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.871866e-06,2.175000e+00,1.543062e-02,5.388108e-04,1.441030e+00,2.819067e+02,0.000000e+00,2.313111e-01,1.000000e+00
2.955820e-06,2.205000e+00,1.608373e-02,5.393150e-04,1.442419e+00,2.819716e+02,0.000000e+00,2.313111e-01,1.000000e+00
3.042229e-06,2.235000e+00,1.675542e-02,5.398008e-04,1.443761e+00,2.820373e+02,0.000000e+00,2.318276e-01,1.000000e+00
3.131163e-06,2.265000e+00,1.744600e-02,5.402756e-04,1.445076e+00,2.821042e+02,0.000000e+00,2.327530e-01,1.000000e+00
3.222697e-06,2.295000e+00,1.815577e-02,5.407642e-04,1.446429e+00,2.821730e+02,0.000000e+00,2.337054e-01,1.000000e+00
3.316907e-06,2.330000e+00,1.900583e-02,5.412671e-04,1.447821e+00,2.822439e+02,0.000000e+00,2.346856e-01,1.000000e+00
3.413871e-06,2.360000e+00,1.975805e-02,5.417847e-04,1.449255e+00,2.823168e+02,0.000000e+00,2.356945e-01,1.000000e+00
3.513670e-06,2.390000e+00,2.053045e-02,5.423175e-04,1.450730e+00,2.823918e+02,0.000000e+00,2.367328e-01,1.000000e+00
3.616386e-06,2.425000e+00,2.145419e-02,5.428658e-04,1.452248e+00,2.824690e+02,0.000000e+00,2.378016e-01,1.000000e+00
3.722105e-06,2.455000e+00,2.227117e-02,5.434302e-04,1.453811e+00,2.825485e+02,0.000000e+00,2.389015e-01,1.000000e+00
3.830915e-06,2.490000e+00,2.324732e-02,5.440110e-04,1.455419e+00,2.826303e+02,0.000000e+00,2.400337e-01,1.000000e+00
3.942905e-06,2.525000e+00,2.425228e-02,5.446088e-04,1.457075e+00,2.827145e+02,0.000000e+00,2.411989e-01,1.000000e+00
4.058169e-06,2.555000e+00,2.514069e-02,5.452241e-04,1.458778e+00,2.828012e+02,0.000000e+00,2.423982e-01,1.000000e+00
4.176803e-06,2.590000e+00,2.620071e-02,5.458574e-04,1.460532e+00,2.828904e+02,0.000000e+00,2.436325e-01,1.000000e+00
4.298904e-06,2.625000e+00,2.729097e-02,5.465092e-04,1.462337e+00,2.829822e+02,0.000000e+00,2.449030e-01,1.000000e+00
4.424575e-06,2.660000e+00,2.841199e-02,5.471801e-04,1.464194e+00,2.830767e+02,0.000000e+00,2.462105e-01,1.000000e+00
4.553920e-06,2.695000e+00,2.956429e-02,5.478706e-04,1.466106e+00,2.831739e+02,0.000000e+00,2.475563e-01,1.000000e+00
