p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
3.473279e-07,2.000000e-03,0.000000e+00,3.459368e-04,7.681662e-01,2.340000e+02,0.000000e+00,1.258165e-01,1.000000e+00
4.158350e-07,2.000000e-03,0.000000e+00,3.468372e-04,7.702507e-01,2.340788e+02,0.000000e+00,1.258165e-01,1.000000e+00
4.978544e-07,2.000000e-03,0.000000e+00,3.479152e-04,7.727463e-01,2.341730e+02,0.000000e+00,1.258165e-01,1.000000e+00
5.960514e-07,1.533000e+00,5.219948e-03,3.492058e-04,7.757341e-01,2.342859e+02,0.000000e+00,1.258165e-01,1.000000e+00
7.136167e-07,1.673000e+00,6.787828e-03,3.507509e-04,7.793112e-01,2.344211e+02,0.000000e+00,1.258165e-01,1.000000e+00
8.543707e-07,1.824000e+00,8.810696e-03,3.526008e-04,7.835939e-01,2.345829e+02,0.000000e+00,1.258165e-01,1.000000e+00
1.022887e-06,1.987000e+00,1.141335e-02,3.548156e-04,7.887214e-01,2.347766e+02,0.000000e+00,1.258165e-01,1.000000e+00
1.224642e-06,2.162000e+00,1.475121e-02,3.574673e-04,7.948601e-01,2.350086e+02,0.000000e+00,1.258165e-01,1.000000e+00
1.466190e-06,2.351000e+00,1.901512e-02,3.606419e-04,8.022097e-01,2.352863e+02,0.000000e+00,1.258165e-01,1.000000e+00
1.755382e-06,2.552000e+00,2.443706e-02,3.644428e-04,8.110089e-01,2.356187e+02,0.000000e+00,1.258165e-01,1.000000e+00
2.101614e-06,2.767000e+00,3.129438e-02,3.689489e-04,8.214436e-01,2.360158e+02,0.000000e+00,1.261067e-01,1.000000e+00
2.516138e-06,2.997000e+00,3.996306e-02,3.731345e-04,8.312120e-01,2.364662e+02,0.000000e+00,1.343564e-01,1.000000e+00
3.012421e-06,3.241000e+00,5.088858e-02,3.781457e-04,8.429072e-01,2.370055e+02,0.000000e+00,1.442332e-01,1.000000e+00
3.606592e-06,3.500000e+00,6.454954e-02,3.841454e-04,8.569091e-01,2.376511e+02,0.000000e+00,1.560582e-01,1.000000e+00
4.317958e-06,3.773000e+00,8.151124e-02,3.906314e-04,8.721123e-01,2.384055e+02,0.000000e+00,1.691805e-01,1.000000e+00
5.169633e-06,4.060000e+00,1.025338e-01,3.977101e-04,8.887767e-01,2.392904e+02,0.000000e+00,1.838712e-01,1.000000e+00
6.189294e-06,4.361000e+00,1.283424e-01,4.057925e-04,9.078498e-01,2.403372e+02,0.000000e+00,2.007214e-01,1.000000e+00
7.410072e-06,4.675000e+00,1.598855e-01,4.145160e-04,9.285536e-01,2.415596e+02,0.000000e+00,2.191036e-01,1.000000e+00
8.871637e-06,5.000000e+00,1.980985e-01,4.241221e-04,9.514694e-01,2.429900e+02,0.000000e+00,2.392562e-01,1.000000e+00
1.062148e-05,5.336000e+00,2.440641e-01,4.347659e-04,9.769955e-01,2.446658e+02,0.000000e+00,2.612168e-01,1.000000e+00
1.271647e-05,5.680000e+00,2.988777e-01,4.464541e-04,1.005219e+00,2.466210e+02,0.000000e+00,2.842352e-01,1.000000e+00
1.522467e-05,6.031000e+00,3.636244e-01,4.593086e-04,1.036496e+00,2.488963e+02,0.000000e+00,3.083026e-01,1.000000e+00
1.822758e-05,6.386000e+00,4.393110e-01,4.735441e-04,1.071421e+00,2.515422e+02,0.000000e+00,3.323683e-01,1.000000e+00
2.182280e-05,6.742000e+00,5.267642e-01,4.893316e-04,1.110565e+00,2.546111e+02,0.000000e+00,3.553835e-01,1.000000e+00
2.612714e-05,7.096000e+00,6.265410e-01,5.069615e-04,1.154764e+00,2.581620e+02,0.000000e+00,3.781353e-01,1.000000e+00
3.128046e-05,7.443000e+00,7.387631e-01,5.267656e-04,1.205154e+00,2.622652e+02,0.000000e+00,3.963316e-01,1.000000e+00
3.745023e-05,7.778000e+00,8.630445e-01,5.490987e-04,1.262834e+00,2.669777e+02,0.000000e+00,4.140382e-01,1.000000e+00
4.483692e-05,8.098000e+00,9.983610e-01,5.744975e-04,1.329589e+00,2.723845e+02,0.000000e+00,4.277781e-01,1.000000e+00
5.368057e-05,8.398000e+00,1.143023e+00,6.035068e-04,1.407403e+00,2.785564e+02,0.000000e+00,4.383956e-01,1.000000e+00
6.426855e-05,8.672000e+00,1.294685e+00,6.368062e-04,1.498772e+00,2.855762e+02,0.000000e+00,4.463399e-01,1.000000e+00
7.694490e-05,8.918000e+00,1.450407e+00,6.751694e-04,1.606730e+00,2.935210e+02,0.000000e+00,4.510272e-01,1.000000e+00
