p_c,R(code units),M(Msun),e(pc),col2(pc)
1.000000e-15,3.000000e+01,5.382783e-07,7.028145e-12,9.210083e+02
1.095351e-15,3.000000e+01,5.875827e-07,7.671936e-12,9.211203e+02
1.199794e-15,3.000000e+01,6.415878e-07,8.377113e-12,9.212431e+02
1.314196e-15,3.000000e+01,7.007417e-07,9.149530e-12,9.213775e+02
1.439506e-15,3.000000e+01,7.655351e-07,9.995598e-12,9.215248e+02
1.576764e-15,3.000000e+01,8.365057e-07,1.092234e-11,9.216861e+02
1.727110e-15,3.000000e+01,9.142423e-07,1.193745e-11,9.218628e+02
1.891792e-15,3.000000e+01,9.993897e-07,1.304934e-11,9.220563e+02
2.072177e-15,3.000000e+01,1.092654e-06,1.426726e-11,9.222683e+02
2.269761e-15,3.000000e+01,1.194810e-06,1.560131e-11,9.225005e+02
2.486185e-15,3.000000e+01,1.306704e-06,1.706256e-11,9.227548e+02
2.723246e-15,3.000000e+01,1.429264e-06,1.866315e-11,9.230334e+02
2.982910e-15,3.000000e+01,1.563507e-06,2.041635e-11,9.233386e+02
3.267334e-15,3.000000e+01,1.710546e-06,2.233672e-11,9.236729e+02
3.578878e-15,3.000000e+01,1.871601e-06,2.444020e-11,9.240390e+02
3.920128e-15,3.000000e+01,2.048006e-06,2.674425e-11,9.244400e+02
4.293916e-15,3.000000e+01,2.241224e-06,2.926799e-11,9.248793e+02
4.703346e-15,3.000000e+01,2.366836e-06,3.090251e-11,9.251298e+02
5.151815e-15,3.000000e+01,2.401114e-06,3.135009e-11,9.251301e+02
5.643046e-15,3.000000e+01,2.438662e-06,3.184034e-11,9.251305e+02
6.181117e-15,3.000000e+01,2.479789e-06,3.237734e-11,9.251308e+02
6.770493e-15,3.000000e+01,2.524838e-06,3.296554e-11,9.251312e+02
7.416067e-15,3.000000e+01,2.574183e-06,3.360983e-11,9.251316e+02
8.123197e-15,3.000000e+01,2.628232e-06,3.431555e-11,9.251321e+02
8.897753e-15,3.000000e+01,2.687435e-06,3.508857e-11,9.251326e+02
9.746164e-15,3.000000e+01,2.752283e-06,3.593529e-11,9.251331e+02
1.067547e-14,3.000000e+01,2.823314e-06,3.686275e-11,9.251338e+02
1.169339e-14,3.000000e+01,2.901117e-06,3.787864e-11,9.251344e+02
1.280837e-14,3.000000e+01,2.986340e-06,3.899140e-11,9.251352e+02
1.402966e-14,3.000000e+01,3.079687e-06,4.021026e-11,9.251360e+02
1.536740e-14,3.000000e+01,3.181936e-06,4.154534e-11,9.251368e+02
1.683270e-14,3.000000e+01,3.293934e-06,4.300772e-11,9.251378e+02
1.843772e-14,3.000000e+01,3.416610e-06,4.460955e-11,9.251388e+02
2.019577e-14,3.000000e+01,3.550983e-06,4.636410e-11,9.251400e+02
2.212146e-14,3.000000e+01,3.698168e-06,4.828596e-11,9.251413e+02
2.423077e-14,3.000000e+01,3.859387e-06,5.039107e-11,9.251427e+02
2.654120e-14,3.000000e+01,4.035977e-06,5.269690e-11,9.251442e+02
2.907193e-14,3.000000e+01,4.229404e-06,5.522259e-11,9.251458e+02
3.184397e-14,3.000000e+01,4.441274e-06,5.798912e-11,9.251477e+02
3.488033e-14,3.000000e+01,4.673343e-06,6.101943e-11,9.251496e+02
3.820621e-14,3.000000e+01,4.927540e-06,6.433869e-11,9.251518e+02
4.184921e-14,3.000000e+01,5.205971e-06,6.797444e-11,9.251542e+02
4.583958e-14,3.000000e+01,5.510949e-06,7.195687e-11,9.251568e+02
5.021043e-14,3.000000e+01,5.845004e-06,7.631903e-11,9.251597e+02
5.499805e-14,3.000000e+01,6.210908e-06,8.109712e-11,9.251628e+02
6.024218e-14,3.000000e+01,6.611696e-06,8.633080e-11,9.251663e+02
6.598633e-14,3.000000e+01,7.050694e-06,9.206353e-11,9.251701e+02
7.227820e-14,3.000000e+01,7.531545e-06,9.834288e-11,9.251742e+02
7.917001e-14,3.000000e+01,8.058238e-06,1.052210e-10,9.251787e+02
8.671896e-14,3.000000e+01,8.635141e-06,1.127549e-10,9.251837e+02
9.498770e-14,3.000000e+01,9.267042e-06,1.210072e-10,9.251891e+02
1.040449e-13,3.000000e+01,9.959182e-06,1.300463e-10,9.251950e+02
1.139657e-13,3.000000e+01,1.071730e-05,1.399474e-10,9.252016e+02
1.248324e-13,3.000000e+01,1.154769e-05,1.507925e-10,9.252087e+02
1.367353e-13,3.000000e+01,1.245723e-05,1.626717e-10,9.252165e+02
1.497732e-13,3.000000e+01,1.345347e-05,1.756836e-10,9.252251e+02
1.640542e-13,3.000000e+01,1.454467e-05,1.899363e-10,9.252344e+02
1.796970e-13,3.000000e+01,1.573988e-05,2.055479e-10,9.252447e+02
1.968313e-13,3.000000e+01,1.704900e-05,2.226481e-10,9.252560e+02
2.155994e-13,3.000000e+01,1.848289e-05,2.413788e-10,9.252683e+02
2.361570e-13,3.000000e+01,2.005344e-05,2.618955e-10,9.252818e+02
2.586749e-13,3.000000e+01,2.177365e-05,2.843686e-10,9.252966e+02
2.833398e-13,3.000000e+01,2.365778e-05,3.089844e-10,9.253127e+02
3.103565e-13,3.000000e+01,2.572145e-05,3.359474e-10,9.253305e+02
3.399494e-13,3.000000e+01,2.798175e-05,3.654813e-10,9.253499e+02
3.723639e-13,3.000000e+01,3.045740e-05,3.978314e-10,9.253712e+02
4.078692e-13,3.000000e+01,3.316889e-05,4.332660e-10,9.253945e+02
4.467600e-13,3.000000e+01,3.613868e-05,4.720794e-10,9.254200e+02
4.893591e-13,3.000000e+01,3.939134e-05,5.145937e-10,9.254480e+02
5.360200e-13,3.000000e+01,4.295379e-05,5.611617e-10,9.254786e+02
5.871301e-13,3.000000e+01,4.685549e-05,6.121701e-10,9.255122e+02
6.431136e-13,3.000000e+01,5.112870e-05,6.680422e-10,9.255489e+02
7.044352e-13,3.000000e+01,5.580875e-05,7.292417e-10,9.255892e+02
7.716039e-13,3.000000e+01,6.093430e-05,7.962767e-10,9.256333e+02
8.451771e-13,3.000000e+01,6.654769e-05,8.697036e-10,9.256816e+02
9.257657e-13,3.000000e+01,7.269524e-05,9.501317e-10,9.257345e+02
1.014038e-12,3.000000e+01,7.942769e-05,1.038229e-09,9.257924e+02
1.110728e-12,3.000000e+01,8.680054e-05,1.134726e-09,9.258559e+02
1.216637e-12,3.000000e+01,9.487456e-05,1.240424e-09,9.259254e+02
1.332645e-12,3.000000e+01,1.037162e-04,1.356201e-09,9.260016e+02
1.459714e-12,3.000000e+01,1.133983e-04,1.483018e-09,9.260850e+02
1.598900e-12,3.000000e+01,1.240004e-04,1.621926e-09,9.261764e+02
1.751356e-12,3.000000e+01,1.356095e-04,1.774079e-09,9.262764e+02
1.918350e-12,3.000000e+01,1.483211e-04,1.940741e-09,9.263861e+02
2.101267e-12,3.000000e+01,1.622392e-04,2.123293e-09,9.265061e+02
2.301625e-12,3.000000e+01,1.774778e-04,2.323253e-09,9.266377e+02
2.521087e-12,3.000000e+01,1.941615e-04,2.542278e-09,9.267817e+02
2.761476e-12,3.000000e+01,2.120228e-04,2.776126e-09,9.269060e+02
3.024786e-12,3.000000e+01,2.302956e-04,3.016129e-09,9.269525e+02
3.313202e-12,3.000000e+01,2.503003e-04,3.279016e-09,9.270036e+02
3.629120e-12,3.000000e+01,2.722000e-04,3.566969e-09,9.270595e+02
3.975160e-12,3.000000e+01,2.961729e-04,3.882379e-09,9.271207e+02
4.354196e-12,3.000000e+01,3.224138e-04,4.227864e-09,9.271878e+02
4.769374e-12,3.000000e+01,3.511354e-04,4.606292e-09,9.272612e+02
5.224139e-12,3.000000e+01,3.825698e-04,5.020802e-09,9.273417e+02
5.722266e-12,3.000000e+01,4.169708e-04,5.474837e-09,9.274299e+02
6.267890e-12,3.000000e+01,4.546150e-04,5.972165e-09,9.275264e+02
6.865541e-12,3.000000e+01,4.958044e-04,6.516913e-09,9.276321e+02
7.520177e-12,3.000000e+01,5.408683e-04,7.113603e-09,9.277480e+02
8.237235e-12,3.000000e+01,5.901656e-04,7.767189e-09,9.278749e+02
9.022664e-12,3.000000e+01,6.440874e-04,8.483095e-09,9.280138e+02
9.882985e-12,3.000000e+01,7.030598e-04,9.267263e-09,9.281661e+02
1.082534e-11,3.000000e+01,7.675463e-04,1.012620e-08,9.283328e+02
1.185755e-11,3.000000e+01,8.380514e-04,1.106704e-08,9.285155e+02
1.298818e-11,3.000000e+01,9.121580e-04,1.201795e-08,9.286717e+02
1.422661e-11,3.000000e+01,9.744331e-04,1.284648e-08,9.287255e+02
1.558314e-11,3.000000e+01,1.042557e-03,1.375400e-08,9.287844e+02
1.706901e-11,3.000000e+01,1.117069e-03,1.474806e-08,9.288489e+02
1.869655e-11,3.000000e+01,1.198559e-03,1.583690e-08,9.289196e+02
2.047929e-11,3.000000e+01,1.287665e-03,1.702957e-08,9.289970e+02
2.243201e-11,3.000000e+01,1.385083e-03,1.833595e-08,9.290818e+02
2.457093e-11,3.000000e+01,1.491572e-03,1.976690e-08,9.291747e+02
2.691380e-11,3.000000e+01,1.607952e-03,2.133430e-08,9.292765e+02
2.948006e-11,3.000000e+01,1.735114e-03,2.305114e-08,9.293880e+02
3.229101e-11,3.000000e+01,1.874027e-03,2.493170e-08,9.295100e+02
3.536999e-11,3.000000e+01,2.025736e-03,2.699156e-08,9.296438e+02
3.874256e-11,3.000000e+01,2.191376e-03,2.924783e-08,9.297902e+02
4.243671e-11,3.000000e+01,2.372170e-03,3.171924e-08,9.299507e+02
4.648310e-11,3.000000e+01,2.569439e-03,3.442631e-08,9.301264e+02
5.091531e-11,3.000000e+01,2.784607e-03,3.739149e-08,9.303189e+02
5.577014e-11,3.000000e+01,3.011987e-03,4.028094e-08,9.304479e+02
6.108788e-11,3.000000e+01,3.216376e-03,4.307571e-08,9.305045e+02
6.691268e-11,3.000000e+01,3.438791e-03,4.613696e-08,9.305665e+02
7.329288e-11,3.000000e+01,3.681501e-03,4.949011e-08,9.306344e+02
8.028143e-11,3.000000e+01,3.946264e-03,5.316299e-08,9.307088e+02
8.793636e-11,3.000000e+01,4.234974e-03,5.718608e-08,9.307902e+02
9.632119e-11,3.000000e+01,4.549666e-03,6.159278e-08,9.308795e+02
1.055055e-10,3.000000e+01,4.892519e-03,6.641966e-08,9.309773e+02
1.155656e-10,3.000000e+01,5.265871e-03,7.170678e-08,9.310843e+02
1.265849e-10,3.000000e+01,5.672211e-03,7.749804e-08,9.312016e+02
1.386549e-10,3.000000e+01,6.114196e-03,8.384151e-08,9.313301e+02
1.518758e-10,3.000000e+01,6.594641e-03,9.078983e-08,9.314708e+02
1.663573e-10,3.000000e+01,7.116528e-03,9.840068e-08,9.316250e+02
1.822197e-10,3.000000e+01,7.683001e-03,1.067372e-07,9.317938e+02
1.995945e-10,3.000000e+01,8.297360e-03,1.158687e-07,9.319788e+02
2.186261e-10,3.000000e+01,8.963055e-03,1.258708e-07,9.321813e+02
2.394723e-10,3.000000e+01,9.666433e-03,1.348498e-07,9.322732e+02
2.623063e-10,3.000000e+01,1.034498e-02,1.446475e-07,9.323714e+02
2.873174e-10,3.000000e+01,1.105783e-02,1.553794e-07,9.324789e+02
3.147135e-10,3.000000e+01,1.183062e-02,1.671346e-07,9.325967e+02
3.447218e-10,3.000000e+01,1.266759e-02,1.800107e-07,9.327257e+02
3.775913e-10,3.000000e+01,1.357316e-02,1.941145e-07,9.328671e+02
4.135951e-10,3.000000e+01,1.455188e-02,2.095632e-07,9.330219e+02
4.530318e-10,3.000000e+01,1.560838e-02,2.264849e-07,9.331914e+02
4.962289e-10,3.000000e+01,1.674737e-02,2.450200e-07,9.333772e+02
5.435449e-10,3.000000e+01,1.797360e-02,2.653226e-07,9.335806e+02
5.953725e-10,3.000000e+01,1.929175e-02,2.875610e-07,9.338034e+02
6.521419e-10,3.000000e+01,2.068208e-02,3.270232e-07,9.339725e+02
7.143244e-10,3.000000e+01,2.213928e-02,3.946751e-07,9.340362e+02
7.824360e-10,3.000000e+01,2.379974e-02,4.687777e-07,9.341060e+02
8.570421e-10,3.000000e+01,2.560460e-02,5.499460e-07,9.341825e+02
9.387620e-10,3.000000e+01,2.747397e-02,6.388538e-07,9.342662e+02
1.028274e-09,3.000000e+01,2.934520e-02,7.362391e-07,9.343580e+02
1.126321e-09,3.000000e+01,3.117434e-02,8.429102e-07,9.344585e+02
1.233717e-09,3.000000e+01,3.293203e-02,9.597525e-07,9.345686e+02
1.351353e-09,3.000000e+01,3.459934e-02,1.087736e-06,9.346892e+02
1.480206e-09,3.000000e+01,3.616469e-02,1.227922e-06,9.348212e+02
1.621346e-09,3.000000e+01,3.762160e-02,1.381476e-06,9.349659e+02
1.775943e-09,3.000000e+01,3.896718e-02,1.549671e-06,9.351244e+02
1.945281e-09,3.000000e+01,4.020105e-02,1.733904e-06,9.352980e+02
2.130765e-09,3.000000e+01,4.132456e-02,1.935704e-06,9.354881e+02
2.333936e-09,3.000000e+01,4.234033e-02,2.156745e-06,9.356963e+02
2.556480e-09,3.000000e+01,4.327338e-02,2.372560e-06,9.358426e+02
2.800243e-09,3.000000e+01,4.415130e-02,2.606710e-06,9.359959e+02
3.067249e-09,3.000000e+01,4.496874e-02,2.863186e-06,9.361638e+02
3.359715e-09,3.000000e+01,4.572140e-02,3.144118e-06,9.363477e+02
3.680067e-09,3.000000e+01,4.640651e-02,3.451836e-06,9.365492e+02
4.030965e-09,3.000000e+01,4.702265e-02,3.788896e-06,9.367698e+02
4.415322e-09,3.000000e+01,4.756952e-02,4.158095e-06,9.370115e+02
4.836328e-09,3.000000e+01,4.804770e-02,4.562497e-06,9.372763e+02
5.297478e-09,3.000000e+01,4.845849e-02,5.005460e-06,9.375662e+02
5.802598e-09,3.000000e+01,4.880377e-02,5.490660e-06,9.378839e+02
6.355882e-09,3.000000e+01,4.908586e-02,6.022124e-06,9.382318e+02
6.961922e-09,3.000000e+01,4.930742e-02,6.604264e-06,9.386129e+02
7.625749e-09,3.000000e+01,4.947137e-02,7.241911e-06,9.390303e+02
8.352873e-09,3.000000e+01,4.958081e-02,7.940359e-06,9.394875e+02
9.149328e-09,3.000000e+01,4.963898e-02,8.705406e-06,9.399884e+02
1.002173e-08,3.000000e+01,4.964917e-02,9.543401e-06,9.405369e+02
1.097731e-08,3.000000e+01,4.961480e-02,1.040369e-05,9.410456e+02
1.202401e-08,3.000000e+01,4.954878e-02,1.112502e-05,9.412490e+02
1.317051e-08,3.000000e+01,4.946671e-02,1.191513e-05,9.414718e+02
1.442633e-08,3.000000e+01,4.937363e-02,1.278058e-05,9.417159e+02
