p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02,0.000000e+00
1.095907e-15,3.000000e+01,5.771054e-07,7.535120e-12,9.210320e+02,0.000000e+00
1.201013e-15,3.000000e+01,6.304168e-07,8.231236e-12,9.211470e+02,0.000000e+00
1.316199e-15,3.000000e+01,6.888404e-07,8.994114e-12,9.212730e+02,0.000000e+00
1.442432e-15,3.000000e+01,7.528666e-07,9.830158e-12,9.214111e+02,0.000000e+00
1.580772e-15,3.000000e+01,8.230324e-07,1.074638e-11,9.215624e+02,0.000000e+00
1.732379e-15,3.000000e+01,8.999265e-07,1.175048e-11,9.217282e+02,0.000000e+00
1.898527e-15,3.000000e+01,9.841940e-07,1.285088e-11,9.219099e+02,0.000000e+00
2.080610e-15,3.000000e+01,1.076542e-06,1.405682e-11,9.221091e+02,0.000000e+00
2.280156e-15,3.000000e+01,1.177744e-06,1.537842e-11,9.223273e+02,0.000000e+00
2.498839e-15,3.000000e+01,1.288651e-06,1.682676e-11,9.225665e+02,0.000000e+00
2.738496e-15,3.000000e+01,1.410191e-06,1.841401e-11,9.228286e+02,0.000000e+00
3.001138e-15,3.000000e+01,1.543385e-06,2.015349e-11,9.231159e+02,0.000000e+00
3.288969e-15,3.000000e+01,1.689349e-06,2.205980e-11,9.234307e+02,0.000000e+00
3.604405e-15,3.000000e+01,1.849307e-06,2.414894e-11,9.237757e+02,0.000000e+00
3.950094e-15,3.000000e+01,2.024601e-06,2.643845e-11,9.241538e+02,0.000000e+00
4.328937e-15,3.000000e+01,2.216699e-06,2.894753e-11,9.245681e+02,0.000000e+00
4.744114e-15,3.000000e+01,2.427213e-06,3.169725e-11,9.250222e+02,0.000000e+00
5.199109e-15,3.000000e+01,2.490087e-06,3.251177e-11,9.250938e+02,0.000000e+00
5.697742e-15,3.000000e+01,2.527542e-06,3.300082e-11,9.250940e+02,0.000000e+00
6.244197e-15,3.000000e+01,2.568590e-06,3.353678e-11,9.250942e+02,0.000000e+00
6.843062e-15,3.000000e+01,2.613574e-06,3.412414e-11,9.250944e+02,0.000000e+00
7.499361e-15,3.000000e+01,2.662873e-06,3.476783e-11,9.250947e+02,0.000000e+00
8.218605e-15,3.000000e+01,2.716899e-06,3.547326e-11,9.250950e+02,0.000000e+00
9.006829e-15,3.000000e+01,2.776107e-06,3.624634e-11,9.250953e+02,0.000000e+00
9.870650e-15,3.000000e+01,2.840994e-06,3.709357e-11,9.250956e+02,0.000000e+00
1.081732e-14,3.000000e+01,2.912103e-06,3.802205e-11,9.250960e+02,0.000000e+00
1.185478e-14,3.000000e+01,2.990032e-06,3.903958e-11,9.250964e+02,0.000000e+00
1.299174e-14,3.000000e+01,3.075435e-06,4.015470e-11,9.250968e+02,0.000000e+00
1.423774e-14,3.000000e+01,3.169028e-06,4.137677e-11,9.250973e+02,0.000000e+00
1.560324e-14,3.000000e+01,3.271598e-06,4.271604e-11,9.250979e+02,0.000000e+00
1.709971e-14,3.000000e+01,3.384004e-06,4.418376e-11,9.250985e+02,0.000000e+00
1.873970e-14,3.000000e+01,3.507190e-06,4.579224e-11,9.250991e+02,0.000000e+00
2.053697e-14,3.000000e+01,3.642191e-06,4.755499e-11,9.250998e+02,0.000000e+00
2.250662e-14,3.000000e+01,3.790138e-06,4.948680e-11,9.251006e+02,0.000000e+00
2.466517e-14,3.000000e+01,3.952274e-06,5.160389e-11,9.251014e+02,0.000000e+00
2.703074e-14,3.000000e+01,4.129959e-06,5.392401e-11,9.251024e+02,0.000000e+00
2.962318e-14,3.000000e+01,4.324684e-06,5.646666e-11,9.251034e+02,0.000000e+00
3.246426e-14,3.000000e+01,4.538083e-06,5.925316e-11,9.251045e+02,0.000000e+00
3.557783e-14,3.000000e+01,4.771948e-06,6.230691e-11,9.251057e+02,0.000000e+00
3.899000e-14,3.000000e+01,5.028239e-06,6.565354e-11,9.251071e+02,0.000000e+00
4.272943e-14,3.000000e+01,5.309109e-06,6.932113e-11,9.251085e+02,0.000000e+00
4.682749e-14,3.000000e+01,5.616914e-06,7.334047e-11,9.251101e+02,0.000000e+00
5.131859e-14,3.000000e+01,5.954237e-06,7.774530e-11,9.251119e+02,0.000000e+00
5.624042e-14,3.000000e+01,6.323907e-06,8.257258e-11,9.251138e+02,0.000000e+00
6.163429e-14,3.000000e+01,6.729027e-06,8.786283e-11,9.251160e+02,0.000000e+00
6.754547e-14,3.000000e+01,7.172995e-06,9.366046e-11,9.251183e+02,0.000000e+00
7.402357e-14,3.000000e+01,7.659537e-06,1.000141e-10,9.251208e+02,0.000000e+00
8.112298e-14,3.000000e+01,8.192733e-06,1.069771e-10,9.251236e+02,0.000000e+00
8.890326e-14,3.000000e+01,8.777058e-06,1.146080e-10,9.251267e+02,0.000000e+00
9.742974e-14,3.000000e+01,9.417412e-06,1.229707e-10,9.251300e+02,0.000000e+00
1.067740e-13,3.000000e+01,1.011917e-05,1.321354e-10,9.251337e+02,0.000000e+00
1.170144e-13,3.000000e+01,1.088821e-05,1.421791e-10,9.251377e+02,0.000000e+00
1.282369e-13,3.000000e+01,1.173099e-05,1.531860e-10,9.251421e+02,0.000000e+00
1.405358e-13,3.000000e+01,1.265457e-05,1.652486e-10,9.251470e+02,0.000000e+00
1.540142e-13,3.000000e+01,1.366671e-05,1.784681e-10,9.251523e+02,0.000000e+00
1.687853e-13,3.000000e+01,1.477588e-05,1.929554e-10,9.251581e+02,0.000000e+00
1.849730e-13,3.000000e+01,1.599138e-05,2.088322e-10,9.251644e+02,0.000000e+00
2.027133e-13,3.000000e+01,1.732342e-05,2.262317e-10,9.251714e+02,0.000000e+00
2.221550e-13,3.000000e+01,1.878315e-05,2.452999e-10,9.251791e+02,0.000000e+00
2.434613e-13,3.000000e+01,2.038280e-05,2.661969e-10,9.251874e+02,0.000000e+00
2.668110e-13,3.000000e+01,2.213579e-05,2.890981e-10,9.251966e+02,0.000000e+00
2.924001e-13,3.000000e+01,2.405680e-05,3.141956e-10,9.252067e+02,0.000000e+00
3.204434e-13,3.000000e+01,2.616192e-05,3.417002e-10,9.252177e+02,0.000000e+00
3.511763e-13,3.000000e+01,2.846879e-05,3.718427e-10,9.252298e+02,0.000000e+00
3.848567e-13,3.000000e+01,3.099673e-05,4.048761e-10,9.252430e+02,0.000000e+00
4.217672e-13,3.000000e+01,3.376691e-05,4.410776e-10,9.252575e+02,0.000000e+00
4.622178e-13,3.000000e+01,3.680251e-05,4.807512e-10,9.252734e+02,0.000000e+00
5.065479e-13,3.000000e+01,4.012894e-05,5.242297e-10,9.252908e+02,0.000000e+00
5.551295e-13,3.000000e+01,4.377402e-05,5.718781e-10,9.253099e+02,0.000000e+00
6.083705e-13,3.000000e+01,4.776826e-05,6.240963e-10,9.253309e+02,0.000000e+00
6.667177e-13,3.000000e+01,5.214503e-05,6.813226e-10,9.253538e+02,0.000000e+00
7.306608e-13,3.000000e+01,5.694093e-05,7.440374e-10,9.253789e+02,0.000000e+00
8.007365e-13,3.000000e+01,6.219603e-05,8.127670e-10,9.254065e+02,0.000000e+00
8.775330e-13,3.000000e+01,6.795420e-05,8.880882e-10,9.254366e+02,0.000000e+00
9.616949e-13,3.000000e+01,7.426351e-05,9.706333e-10,9.254697e+02,0.000000e+00
1.053928e-12,3.000000e+01,8.117661e-05,1.061095e-09,9.255060e+02,0.000000e+00
