p_c,R,M,e(pc),col2(pc)
2.570926e-07,6.370000e-01,5.921908e-04,5.479350e-04,3.397500e+02
2.803757e-07,2.000000e-03,0.000000e+00,5.479939e-04,3.397645e+02
3.057674e-07,2.000000e-03,0.000000e+00,5.480581e-04,3.397802e+02
3.334586e-07,2.000000e-03,0.000000e+00,5.481281e-04,3.397974e+02
3.636577e-07,2.000000e-03,0.000000e+00,5.482045e-04,3.398162e+02
3.965916e-07,2.000000e-03,0.000000e+00,5.482878e-04,3.398366e+02
4.325082e-07,2.000000e-03,0.000000e+00,5.483787e-04,3.398589e+02
4.716774e-07,2.000000e-03,0.000000e+00,5.484777e-04,3.398833e+02
5.143940e-07,2.000000e-03,0.000000e+00,5.485858e-04,3.399098e+02
5.609791e-07,2.000000e-03,0.000000e+00,5.487036e-04,3.399387e+02
6.117831e-07,2.000000e-03,0.000000e+00,5.488321e-04,3.399703e+02
6.671881e-07,2.000000e-03,0.000000e+00,5.490116e-04,3.400047e+02
7.276107e-07,2.000000e-03,0.000000e+00,5.494811e-04,3.400426e+02
7.935053e-07,2.000000e-03,0.000000e+00,5.499931e-04,3.400839e+02
8.653676e-07,2.000000e-03,0.000000e+00,5.505515e-04,3.401289e+02
9.437379e-07,2.000000e-03,0.000000e+00,5.511605e-04,3.401780e+02
1.029206e-06,2.000000e-03,0.000000e+00,5.518245e-04,3.402316e+02
1.122414e-06,2.000000e-03,0.000000e+00,5.523785e-04,3.402893e+02
1.224063e-06,2.000000e-03,0.000000e+00,5.528971e-04,3.403519e+02
1.334918e-06,1.444000e+00,6.914749e-03,5.534628e-04,3.404201e+02
1.455812e-06,1.506000e+00,7.851469e-03,5.540796e-04,3.404945e+02
1.587655e-06,1.571000e+00,8.913347e-03,5.546863e-04,3.405754e+02
1.731438e-06,1.638000e+00,1.011678e-02,5.553427e-04,3.406637e+02
1.888242e-06,1.708000e+00,1.147834e-02,5.560464e-04,3.407599e+02
2.059247e-06,1.781000e+00,1.302377e-02,5.566992e-04,3.408646e+02
2.245739e-06,1.857000e+00,1.477198e-02,5.574112e-04,3.409788e+02
2.449120e-06,1.936000e+00,1.674137e-02,5.598698e-04,3.411013e+02
2.670920e-06,2.017000e+00,1.894306e-02,5.629280e-04,3.412346e+02
2.912807e-06,2.100000e+00,2.142377e-02,5.632269e-04,3.413780e+02
3.176600e-06,2.188000e+00,2.424598e-02,5.633163e-04,3.415345e+02
3.464282e-06,2.279000e+00,2.744395e-02,5.640241e-04,3.417059e+02
3.778018e-06,2.374000e+00,3.105804e-02,5.648076e-04,3.418945e+02
4.120167e-06,2.473000e+00,3.513825e-02,5.658818e-04,3.421008e+02
4.493302e-06,2.575000e+00,3.973176e-02,5.670029e-04,3.423263e+02
4.900229e-06,2.682000e+00,4.491922e-02,5.675393e-04,3.425737e+02
5.344009e-06,2.792000e+00,5.078033e-02,5.680284e-04,3.428461e+02
5.827979e-06,2.907000e+00,5.736369e-02,5.715894e-04,3.431437e+02
6.355779e-06,3.023000e+00,6.460501e-02,5.753313e-04,3.434618e+02
6.931378e-06,3.142000e+00,7.269846e-02,5.779450e-04,3.438046e+02
7.559105e-06,3.266000e+00,8.173973e-02,5.803727e-04,3.441773e+02
8.243681e-06,3.392000e+00,9.182209e-02,5.834359e-04,3.445827e+02
8.990254e-06,3.523000e+00,1.030400e-01,5.864569e-04,3.450228e+02
9.804439e-06,3.656000e+00,1.154655e-01,5.915696e-04,3.454988e+02
1.069236e-05,3.793000e+00,1.292392e-01,5.934571e-04,3.460135e+02
1.166069e-05,3.934000e+00,1.445841e-01,5.965779e-04,3.465806e+02
1.271672e-05,4.077000e+00,1.614652e-01,6.017502e-04,3.471935e+02
1.386839e-05,4.223000e+00,1.800208e-01,6.066160e-04,3.478552e+02
1.512435e-05,4.372000e+00,2.004047e-01,6.116540e-04,3.485738e+02
1.649406e-05,4.523000e+00,2.227361e-01,6.173509e-04,3.493520e+02
1.798781e-05,4.676000e+00,2.471259e-01,6.230517e-04,3.501942e+02
1.961684e-05,4.830000e+00,2.735047e-01,6.299085e-04,3.510592e+02
2.139340e-05,4.987000e+00,3.025343e-01,6.336072e-04,3.520556e+02
2.333085e-05,5.147000e+00,3.340752e-01,6.437299e-04,3.531550e+02
2.544377e-05,5.304000e+00,3.676686e-01,6.537385e-04,3.542953e+02
2.774803e-05,5.463000e+00,4.039411e-01,6.590146e-04,3.555531e+02
3.026098e-05,5.621000e+00,4.426014e-01,6.711619e-04,3.569006e+02
3.300151e-05,5.778000e+00,4.837752e-01,6.817262e-04,3.583495e+02
3.599023e-05,5.933000e+00,5.274691e-01,6.930345e-04,3.599081e+02
3.924961e-05,6.087000e+00,5.736829e-01,7.055078e-04,3.615911e+02
4.280418e-05,6.238000e+00,6.223015e-01,7.190129e-04,3.634010e+02
4.668066e-05,6.386000e+00,6.732276e-01,7.334946e-04,3.653441e+02
5.090820e-05,6.531000e+00,7.263042e-01,7.493094e-04,3.674348e+02
5.551860e-05,6.671000e+00,7.813295e-01,7.656318e-04,3.696566e+02
6.054654e-05,6.807000e+00,8.381622e-01,7.850310e-04,3.720811e+02
6.602982e-05,6.937000e+00,8.964056e-01,8.067279e-04,3.746417e+02
7.200968e-05,7.061000e+00,9.559682e-01,8.271172e-04,3.774113e+02
7.853110e-05,7.179000e+00,1.016315e+00,8.507917e-04,3.803558e+02
8.564312e-05,7.291000e+00,1.077217e+00,8.766350e-04,3.835009e+02
9.339922e-05,7.395000e+00,1.138336e+00,9.045756e-04,3.868558e+02
1.018577e-04,7.491000e+00,1.199301e+00,9.349656e-04,3.904303e+02
1.110823e-04,7.580000e+00,1.260151e+00,9.679473e-04,3.942344e+02
1.211422e-04,7.661000e+00,1.319693e+00,1.003737e-03,3.982783e+02
1.321133e-04,7.733000e+00,1.377984e+00,1.042856e-03,4.025674e+02
1.440778e-04,7.797000e+00,1.434752e+00,1.084944e-03,4.071259e+02
1.571260e-04,7.852000e+00,1.489540e+00,1.130812e-03,4.119498e+02
1.713558e-04,7.899000e+00,1.542124e+00,1.180662e-03,4.170539e+02
1.868743e-04,7.937000e+00,1.592185e+00,1.236021e-03,4.224470e+02
2.037982e-04,7.962000e+00,1.633034e+00,1.784067e-03,4.278645e+02
2.222548e-04,7.945000e+00,1.639293e+00,1.859966e-03,4.322206e+02
2.423829e-04,7.915000e+00,1.642908e+00,1.941238e-03,4.368222e+02
2.643338e-04,7.876000e+00,1.645387e+00,2.028453e-03,4.416809e+02
2.882727e-04,7.831000e+00,1.647260e+00,2.121189e-03,4.468071e+02
3.143796e-04,7.781000e+00,1.648724e+00,2.220832e-03,4.522136e+02
3.428507e-04,7.727000e+00,1.649910e+00,2.327342e-03,4.579118e+02
3.739004e-04,7.670000e+00,1.650823e+00,2.441823e-03,4.639140e+02
4.077619e-04,7.610000e+00,1.651452e+00,2.564793e-03,4.702333e+02
4.446901e-04,7.547000e+00,1.651743e+00,2.696365e-03,4.768821e+02
4.849626e-04,7.483000e+00,1.651636e+00,2.838182e-03,4.838742e+02
5.288823e-04,7.416000e+00,1.651060e+00,2.990387e-03,4.912230e+02
5.767795e-04,7.348000e+00,1.649941e+00,3.154177e-03,4.989427e+02
6.290145e-04,7.278000e+00,1.648216e+00,3.330238e-03,5.070477e+02
6.859799e-04,7.207000e+00,1.645824e+00,3.519817e-03,5.155529e+02
7.481044e-04,7.135000e+00,1.642699e+00,3.724055e-03,5.244737e+02
8.158550e-04,7.062000e+00,1.638803e+00,3.943848e-03,5.338261e+02
8.897414e-04,6.988000e+00,1.634094e+00,4.180437e-03,5.436267e+02
9.703191e-04,6.914000e+00,1.628559e+00,4.435326e-03,5.538930e+02
1.058194e-03,6.840000e+00,1.622181e+00,4.709746e-03,5.646433e+02
1.154027e-03,6.765000e+00,1.614939e+00,5.004986e-03,5.758966e+02
1.258540e-03,6.690000e+00,1.606856e+00,5.322278e-03,5.876747e+02
1.372517e-03,6.615000e+00,1.597949e+00,5.663114e-03,6.000000e+02
