p_c,R,M,e(pc),col2(pc)
1.323790e-07,2.000000e+01,4.007426e-01,1.195878e-05,9.420000e+02
1.445373e-07,2.000000e+01,4.018907e-01,3.041955e-05,9.457449e+02
1.578122e-07,2.000000e+01,4.039457e-01,3.314399e-05,9.462976e+02
1.723064e-07,2.000000e+01,4.064847e-01,3.611864e-05,9.469010e+02
1.881318e-07,1.998800e+01,4.085771e-01,3.908884e-05,9.472947e+02
2.054107e-07,1.980900e+01,4.011118e-01,4.217860e-05,9.475781e+02
2.242766e-07,1.963000e+01,3.939324e-01,4.555213e-05,9.478876e+02
2.448751e-07,1.944700e+01,3.869197e-01,4.923551e-05,9.482255e+02
2.673656e-07,1.926500e+01,3.801911e-01,5.325718e-05,9.485944e+02
2.919216e-07,1.895200e+01,3.665220e-01,5.757970e-05,9.489318e+02
3.187330e-07,1.882700e+01,3.633680e-01,6.219415e-05,9.491997e+02
3.480069e-07,1.849600e+01,3.495838e-01,6.723241e-05,9.494923e+02
3.799694e-07,1.845300e+01,3.509012e-01,7.273341e-05,9.498118e+02
4.148675e-07,1.834300e+01,3.486752e-01,7.873964e-05,9.501606e+02
4.529708e-07,1.815900e+01,3.427728e-01,8.529752e-05,9.505415e+02
4.945737e-07,1.777800e+01,3.274350e-01,9.245769e-05,9.509573e+02
5.399976e-07,1.769000e+01,3.263511e-01,1.002755e-04,9.514113e+02
5.895934e-07,1.748500e+01,3.196862e-01,1.088113e-04,9.519071e+02
6.437443e-07,1.734900e+01,3.162125e-01,1.181311e-04,9.524483e+02
7.028687e-07,1.726100e+01,3.148148e-01,1.283069e-04,9.530393e+02
7.674234e-07,1.695700e+01,3.038357e-01,1.394172e-04,9.536845e+02
8.379070e-07,1.662500e+01,2.920901e-01,1.462523e-04,9.541956e+02
9.148641e-07,1.656300e+01,2.922557e-01,1.501789e-04,9.546244e+02
9.988894e-07,1.646600e+01,2.915211e-01,1.544660e-04,9.550925e+02
1.090632e-06,1.591100e+01,2.733910e-01,1.591469e-04,9.556037e+02
1.190800e-06,1.573700e+01,2.710936e-01,1.640835e-04,9.561554e+02
1.300169e-06,1.532600e+01,2.609259e-01,1.694524e-04,9.567571e+02
1.419582e-06,1.501600e+01,2.554438e-01,1.753144e-04,9.574140e+02
1.549963e-06,1.472600e+01,2.514763e-01,1.817149e-04,9.581312e+02
1.692319e-06,1.438300e+01,2.466839e-01,1.887032e-04,9.589143e+02
