p_c,R(code units),M(Msun),e(pc),col2(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02
1.095807e-15,3.000000e+01,5.770547e-07,7.534458e-12,9.210319e+02
1.200794e-15,3.000000e+01,6.303056e-07,8.229784e-12,9.211468e+02
1.315839e-15,3.000000e+01,6.886577e-07,8.991728e-12,9.212726e+02
1.441906e-15,3.000000e+01,7.525996e-07,9.826672e-12,9.214105e+02
1.580051e-15,3.000000e+01,8.226667e-07,1.074161e-11,9.215616e+02
1.731431e-15,3.000000e+01,8.994456e-07,1.174420e-11,9.217271e+02
1.897315e-15,3.000000e+01,9.835791e-07,1.284286e-11,9.219086e+02
2.079092e-15,3.000000e+01,1.075772e-06,1.404677e-11,9.221074e+02
2.278284e-15,3.000000e+01,1.176795e-06,1.536602e-11,9.223253e+02
2.496560e-15,3.000000e+01,1.287495e-06,1.681167e-11,9.225640e+02
2.735749e-15,3.000000e+01,1.408798e-06,1.839582e-11,9.228256e+02
2.997854e-15,3.000000e+01,1.541719e-06,2.013174e-11,9.231123e+02
3.285070e-15,3.000000e+01,1.687372e-06,2.203398e-11,9.234264e+02
3.599804e-15,3.000000e+01,1.846974e-06,2.411847e-11,9.237707e+02
3.944692e-15,3.000000e+01,2.021861e-06,2.640267e-11,9.241479e+02
4.322622e-15,3.000000e+01,2.213497e-06,2.890570e-11,9.245612e+02
4.736761e-15,3.000000e+01,2.423485e-06,3.164855e-11,9.250142e+02
5.190577e-15,3.000000e+01,2.489446e-06,3.250340e-11,9.250938e+02
5.687873e-15,3.000000e+01,2.526801e-06,3.299114e-11,9.250940e+02
6.232813e-15,3.000000e+01,2.567734e-06,3.352562e-11,9.250942e+02
6.829962e-15,3.000000e+01,2.612590e-06,3.411129e-11,9.250944e+02
7.484322e-15,3.000000e+01,2.661743e-06,3.475308e-11,9.250947e+02
8.201375e-15,3.000000e+01,2.715605e-06,3.545636e-11,9.250950e+02
8.987127e-15,3.000000e+01,2.774627e-06,3.622702e-11,9.250953e+02
9.848160e-15,3.000000e+01,2.839304e-06,3.707151e-11,9.250956e+02
1.079169e-14,3.000000e+01,2.910178e-06,3.799691e-11,9.250960e+02
1.182561e-14,3.000000e+01,2.987841e-06,3.901097e-11,9.250964e+02
1.295859e-14,3.000000e+01,3.072945e-06,4.012219e-11,9.250968e+02
1.420012e-14,3.000000e+01,3.166202e-06,4.133987e-11,9.250973e+02
1.556059e-14,3.000000e+01,3.268394e-06,4.267421e-11,9.250979e+02
1.705141e-14,3.000000e+01,3.380376e-06,4.413639e-11,9.250984e+02
1.868506e-14,3.000000e+01,3.503086e-06,4.573866e-11,9.250991e+02
2.047523e-14,3.000000e+01,3.637553e-06,4.749443e-11,9.250998e+02
2.243690e-14,3.000000e+01,3.784902e-06,4.941843e-11,9.251006e+02
2.458652e-14,3.000000e+01,3.946367e-06,5.152675e-11,9.251014e+02
2.694209e-14,3.000000e+01,4.123300e-06,5.383707e-11,9.251023e+02
2.952334e-14,3.000000e+01,4.317184e-06,5.636874e-11,9.251033e+02
3.235190e-14,3.000000e+01,4.529643e-06,5.914295e-11,9.251045e+02
3.545145e-14,3.000000e+01,4.762455e-06,6.218296e-11,9.251057e+02
3.884796e-14,3.000000e+01,5.017570e-06,6.551422e-11,9.251070e+02
4.256987e-14,3.000000e+01,5.297125e-06,6.916464e-11,9.251085e+02
4.664838e-14,3.000000e+01,5.603461e-06,7.316480e-11,9.251101e+02
5.111764e-14,3.000000e+01,5.939143e-06,7.754821e-11,9.251118e+02
5.601508e-14,3.000000e+01,6.306982e-06,8.235157e-11,9.251138e+02
6.138174e-14,3.000000e+01,6.710059e-06,8.761513e-11,9.251159e+02
6.726256e-14,3.000000e+01,7.151747e-06,9.338299e-11,9.251182e+02
7.370681e-14,3.000000e+01,7.635746e-06,9.970344e-11,9.251207e+02
8.076846e-14,3.000000e+01,8.166108e-06,1.066294e-10,9.251235e+02
8.850667e-14,3.000000e+01,8.747273e-06,1.142190e-10,9.251265e+02
9.698626e-14,3.000000e+01,9.384106e-06,1.225357e-10,9.251299e+02
1.062783e-13,3.000000e+01,1.008194e-05,1.316492e-10,9.251335e+02
1.164605e-13,3.000000e+01,1.084661e-05,1.416358e-10,9.251375e+02
1.276183e-13,3.000000e+01,1.168453e-05,1.525793e-10,9.251419e+02
1.398450e-13,3.000000e+01,1.260270e-05,1.645711e-10,9.251467e+02
1.532432e-13,3.000000e+01,1.360881e-05,1.777119e-10,9.251520e+02
1.679250e-13,3.000000e+01,1.471128e-05,1.921117e-10,9.251577e+02
1.840135e-13,3.000000e+01,1.591934e-05,2.078911e-10,9.251641e+02
2.016433e-13,3.000000e+01,1.724308e-05,2.251823e-10,9.251710e+02
2.209622e-13,3.000000e+01,1.869359e-05,2.441301e-10,9.251786e+02
2.421320e-13,3.000000e+01,2.028301e-05,2.648932e-10,9.251869e+02
2.653301e-13,3.000000e+01,2.202461e-05,2.876456e-10,9.251960e+02
2.907506e-13,3.000000e+01,2.393297e-05,3.125779e-10,9.252060e+02
3.186067e-13,3.000000e+01,2.602404e-05,3.398988e-10,9.252170e+02
3.491315e-13,3.000000e+01,2.831531e-05,3.698373e-10,9.252290e+02
3.825809e-13,3.000000e+01,3.082593e-05,4.026441e-10,9.252421e+02
4.192349e-13,3.000000e+01,3.357687e-05,4.385940e-10,9.252565e+02
4.594007e-13,3.000000e+01,3.659111e-05,4.779882e-10,9.252723e+02
5.034147e-13,3.000000e+01,3.989384e-05,5.211567e-10,9.252896e+02
5.516455e-13,3.000000e+01,4.351263e-05,5.684610e-10,9.253086e+02
6.044972e-13,3.000000e+01,4.747769e-05,6.202974e-10,9.253293e+02
6.624125e-13,3.000000e+01,5.182210e-05,6.771001e-10,9.253521e+02
7.258764e-13,3.000000e+01,5.658211e-05,7.393449e-10,9.253770e+02
7.954207e-13,3.000000e+01,6.179741e-05,8.075533e-10,9.254044e+02
8.716279e-13,3.000000e+01,6.751146e-05,8.822965e-10,9.254343e+02
9.551362e-13,3.000000e+01,7.377187e-05,9.642006e-10,9.254671e+02
1.046645e-12,3.000000e+01,8.063077e-05,1.053952e-09,9.255031e+02
1.146922e-12,3.000000e+01,8.814522e-05,1.152302e-09,9.255425e+02
1.256805e-12,3.000000e+01,9.637772e-05,1.260074e-09,9.255857e+02
1.377216e-12,3.000000e+01,1.053967e-04,1.378173e-09,9.256330e+02
