# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# pressure (code_units),epsilon (code_units),muB
1.323790e-07,5.001346e-06,937.5635430961844
1.323790e-07,9.514119e-06,940.5177752602895
1.323790e-07,2.533731e-05,943.4720074243946
1.602762e-07,5.199894e-05,946.4262395884998
3.570382e-07,7.260575e-05,949.3804717526049
6.146632e-07,9.091330e-05,952.3347039167099
9.272274e-07,1.079332e-04,955.2889360808151
1.285913e-06,1.239282e-04,958.2431682449203
1.694100e-06,1.389774e-04,961.1974004090252
2.150018e-06,1.531952e-04,964.1516325731303
2.649836e-06,1.671133e-04,967.1058647372354
3.189386e-06,1.802397e-04,970.0600969013406
3.765459e-06,1.925800e-04,973.0143290654457
4.379020e-06,2.042858e-04,975.9685612295508
5.026902e-06,2.154051e-04,978.9227933936559
5.711374e-06,2.257450e-04,981.877025557761
6.424674e-06,2.355942e-04,984.8312577218662
7.164005e-06,2.450350e-04,987.7854898859712
7.927257e-06,2.541178e-04,990.7397220500762
8.727361e-06,2.626587e-04,993.6939542141813
9.545933e-06,2.709709e-04,996.6481863782865
1.038761e-05,2.790002e-04,999.6024185423917
1.125926e-05,2.866761e-04,1002.5566507064967
1.214043e-05,2.942410e-04,1005.5108828706018
1.305951e-05,3.013989e-04,1008.465115034707
1.398536e-05,3.084928e-04,1011.4193471988121
1.494456e-05,3.152706e-04,1014.3735793629171
1.591079e-05,3.219843e-04,1017.3278115270222
1.690720e-05,3.284224e-04,1020.2820436911272
1.790733e-05,3.348327e-04,1023.2362758552324
1.894439e-05,3.409678e-04,1026.1905080193376
1.998146e-05,3.471029e-04,1029.1447401834425
2.105189e-05,3.529882e-04,1032.0989723475477
2.212698e-05,3.588387e-04,1035.053204511653
2.322371e-05,3.645552e-04,1038.0074366757578
2.433887e-05,3.701576e-04,1040.961668839863
2.545724e-05,3.757410e-04,1043.915901003968
2.661119e-05,3.811140e-04,1046.8701331680732
2.776514e-05,3.864869e-04,1049.8243653321783
2.893850e-05,3.917552e-04,1052.7785974962835
3.013113e-05,3.969197e-04,1055.7328296603887
3.132375e-05,4.020842e-04,1058.6870618244936
3.254787e-05,4.070967e-04,1061.6412939885988
3.378001e-05,4.120705e-04,1064.5955261527038
3.501215e-05,4.170442e-04,1067.549758316809
3.628233e-05,4.218562e-04,1070.5039904809141
3.755382e-05,4.266625e-04,1073.458222645019
3.882587e-05,4.314667e-04,1076.4124548091243
4.013570e-05,4.361199e-04,1079.3666869732294
4.144552e-05,4.407730e-04,1082.3209191373344
4.275534e-05,4.454262e-04,1085.2751513014396
4.410265e-05,4.499479e-04,1088.2293834655447
4.545237e-05,4.544612e-04,1091.1836156296497
4.680209e-05,4.589744e-04,1094.1378477937549
4.818011e-05,4.633946e-04,1097.0920799578598
4.956795e-05,4.677825e-04,1100.046312121965
5.095579e-05,4.721703e-04,1103.0005442860702
5.236072e-05,4.765108e-04,1105.9547764501754
5.378886e-05,4.807869e-04,1108.9090086142805
5.521701e-05,4.850630e-04,1111.8632407783855
5.664515e-05,4.893391e-04,1114.8174729424907
5.811142e-05,4.935173e-04,1117.7717051065956
5.957812e-05,4.976944e-04,1120.7259372707008
6.104482e-05,5.018715e-04,1123.680169434806
6.252839e-05,5.060087e-04,1126.634401598911
6.403348e-05,5.100947e-04,1129.588633763016
6.553857e-05,5.141808e-04,1132.5428659271213
6.704366e-05,5.182668e-04,1135.4970980912262
6.857997e-05,5.222930e-04,1138.4513302553314
7.012531e-05,5.263019e-04,1141.4055624194366
7.167066e-05,5.303108e-04,1144.3597945835415
7.321624e-05,5.343193e-04,1147.314026747647
7.480015e-05,5.382575e-04,1150.2682589117517
7.638407e-05,5.421957e-04,1153.2224910758569
7.796799e-05,5.461340e-04,1156.176723239962
7.955699e-05,5.500643e-04,1159.1309554040672
8.117986e-05,5.539422e-04,1162.0851875681724
8.280273e-05,5.578200e-04,1165.0394197322773
8.442560e-05,5.616978e-04,1167.9936518963825
8.605455e-05,5.655672e-04,1170.9478840604875
8.771669e-05,5.693903e-04,1173.9021162245926
8.937884e-05,5.732135e-04,1176.8563483886978
9.104098e-05,5.770367e-04,1179.8105805528028
9.270628e-05,5.808563e-04,1182.764812716908
9.440732e-05,5.846347e-04,1185.7190448810131
9.610836e-05,5.884131e-04,1188.673277045118
9.780940e-05,5.921915e-04,1191.6275092092233
9.951044e-05,5.959699e-04,1194.5817413733284
1.012479e-04,5.997127e-04,1197.5359735374334
1.029887e-04,6.034523e-04,1200.4902057015388
1.047294e-04,6.071919e-04,1203.4444378656435
1.064702e-04,6.109315e-04,1206.3986700297487
1.082367e-04,6.146491e-04,1209.3529021938539
1.100161e-04,6.183556e-04,1212.307134357959
1.117955e-04,6.220620e-04,1215.2613665220642
1.146095e-04,1.596363e-03,1218.2155986861692
1.187965e-04,1.612964e-03,1221.1698308502744
1.229870e-04,1.629570e-03,1224.1240630143793
1.272556e-04,1.646283e-03,1227.0782951784845
1.315252e-04,1.662998e-03,1230.0325273425897
1.358757e-04,1.679826e-03,1232.9867595066946
1.402262e-04,1.696654e-03,1235.9409916707998
1.446570e-04,1.713597e-03,1238.895223834905
1.490894e-04,1.730542e-03,1241.84945599901
1.535998e-04,1.747601e-03,1244.803688163115
1.581145e-04,1.764666e-03,1247.7579203272203
1.627046e-04,1.781843e-03,1250.7121524913252
1.673016e-04,1.799030e-03,1253.6663846554306
1.719718e-04,1.816329e-03,1256.6206168195354
1.766513e-04,1.833641e-03,1259.5748489836405
1.814016e-04,1.851063e-03,1262.5290811477457
1.861638e-04,1.868504e-03,1265.483313311851
1.909944e-04,1.886052e-03,1268.437545475956
1.958396e-04,1.903622e-03,1271.391777640061
2.007508e-04,1.921298e-03,1274.3460098041662
2.056792e-04,1.939002e-03,1277.3002419682712
2.106713e-04,1.956808e-03,1280.2544741323763
2.156831e-04,1.974647e-03,1283.2087062964815
2.207561e-04,1.992586e-03,1286.1629384605865
2.258516e-04,2.010563e-03,1289.1171706246917
2.310060e-04,2.028638e-03,1292.0714027887968
2.361854e-04,2.046754e-03,1295.0256349529018
2.414213e-04,2.064966e-03,1297.979867117007
2.466849e-04,2.083226e-03,1300.9340992811121
2.520025e-04,2.101578e-03,1303.888331445217
2.573506e-04,2.119982e-03,1306.8425636093225
2.627502e-04,2.138477e-03,1309.7967957734272
2.681831e-04,2.157029e-03,1312.7510279375324
2.736651e-04,2.175667e-03,1315.7052601016376
2.791830e-04,2.194369e-03,1318.6594922657428
2.847475e-04,2.213154e-03,1321.613724429848
2.903508e-04,2.232009e-03,1324.5679565939527
2.959982e-04,2.250944e-03,1327.522188758058
3.016871e-04,2.269953e-03,1330.476420922163
3.074176e-04,2.289038e-03,1333.4306530862682
3.131926e-04,2.308205e-03,1336.3848852503734
3.190066e-04,2.327445e-03,1339.3391174144783
3.248679e-04,2.346771e-03,1342.2933495785835
3.307657e-04,2.366166e-03,1345.2475817426887
3.367136e-04,2.385655e-03,1348.2018139067936
3.426954e-04,2.405208e-03,1351.1560460708988
3.487302e-04,2.424861e-03,1354.110278235004
