# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# muB (code_units),pressure (code_units),epsilon,eos
7.080000e+02,2.087031e-06,0.0002144873,v0.00d1.80
7.101764e+02,2.754702e-06,0.00021859730581162327,v0.00d1.80
7.123527e+02,3.422372e-06,0.00022270731162324654,v0.00d1.80
7.145291e+02,4.097454e-06,0.00022668566132264537,v0.00d1.80
7.167054e+02,4.795610e-06,0.00023025408176352701,v0.00d1.80
7.188818e+02,5.493767e-06,0.0002338225022044088,v0.00d1.80
7.210581e+02,6.204739e-06,0.00023721650981963928,v0.00d1.80
7.232345e+02,6.929254e-06,0.00024042619478957918,v0.00d1.80
7.254108e+02,7.653769e-06,0.00024363587975951908,v0.00d1.80
7.275872e+02,8.395910e-06,0.0002466624048096193,v0.00d1.80
7.297635e+02,9.144594e-06,0.0002496209386773547,v0.00d1.80
7.319399e+02,9.893278e-06,0.0002525794725450902,v0.00d1.80
7.341162e+02,1.066361e-05,0.00025536200641282565,v0.00d1.80
7.362926e+02,1.143457e-05,0.0002581395402805611,v0.00d1.80
7.384689e+02,1.220983e-05,0.0002608885002004008,v0.00d1.80
7.406453e+02,1.300077e-05,0.0002635334216432866,v0.00d1.80
7.428216e+02,1.379172e-05,0.0002661783430861723,v0.00d1.80
7.449980e+02,1.459285e-05,0.0002687767412825651,v0.00d1.80
7.471743e+02,1.540600e-05,0.0002713202084168337,v0.00d1.80
7.493507e+02,1.621914e-05,0.0002738636755511022,v0.00d1.80
7.515271e+02,1.704458e-05,0.0002763564953907816,v0.00d1.80
7.537034e+02,1.787525e-05,0.00027882778016032067,v0.00d1.80
7.558798e+02,1.870592e-05,0.00028129906492985966,v0.00d1.80
7.580561e+02,1.955391e-05,0.0002837189468937875,v0.00d1.80
7.602325e+02,2.040291e-05,0.00028613582284569135,v0.00d1.80
7.624088e+02,2.125530e-05,0.00028854527875751503,v0.00d1.80
7.645852e+02,2.212236e-05,0.00029092265390781564,v0.00d1.80
7.667615e+02,2.298942e-05,0.00029330002905811624,v0.00d1.80
7.689379e+02,2.386475e-05,0.0002956647116232465,v0.00d1.80
7.711142e+02,2.475101e-05,0.0002980126334669338,v0.00d1.80
7.732906e+02,2.563727e-05,0.0003003605553106213,v0.00d1.80
7.754669e+02,2.653281e-05,0.00030269859979959916,v0.00d1.80
7.776433e+02,2.743284e-05,0.00030503186753507003,v0.00d1.80
7.798196e+02,2.833287e-05,0.0003073651352705411,v0.00d1.80
7.819960e+02,2.924939e-05,0.0003096884230460921,v0.00d1.80
7.841723e+02,3.016740e-05,0.0003120108090180361,v0.00d1.80
7.863487e+02,3.108825e-05,0.00031433297414829655,v0.00d1.80
7.885251e+02,3.202399e-05,0.00031665398176352716,v0.00d1.80
7.907014e+02,3.295972e-05,0.00031897498937875755,v0.00d1.80
7.928778e+02,3.390223e-05,0.0003212937440881763,v0.00d1.80
7.950541e+02,3.485477e-05,0.000323609165731463,v0.00d1.80
7.972305e+02,3.580730e-05,0.0003259245873747495,v0.00d1.80
7.994068e+02,3.677055e-05,0.00032824622244488985,v0.00d1.80
8.015832e+02,3.773965e-05,0.00033057125631262525,v0.00d1.80
8.037595e+02,3.870876e-05,0.00033289629018036065,v0.00d1.80
8.059359e+02,3.969267e-05,0.0003352301322645291,v0.00d1.80
8.081122e+02,4.067842e-05,0.0003375650685370741,v0.00d1.80
8.102886e+02,4.166638e-05,0.0003399016064128257,v0.00d1.80
8.124649e+02,4.266875e-05,0.0003422486214428858,v0.00d1.80
8.146413e+02,4.367111e-05,0.000344595636472946,v0.00d1.80
8.168176e+02,4.467968e-05,0.0003469496014028056,v0.00d1.80
8.189940e+02,4.569854e-05,0.00034931511543086165,v0.00d1.80
8.211703e+02,4.671739e-05,0.0003516806294589179,v0.00d1.80
8.233467e+02,4.774651e-05,0.00035405700681362715,v0.00d1.80
8.255230e+02,4.878194e-05,0.0003564400767535071,v0.00d1.80
8.276994e+02,4.981737e-05,0.0003588231466933867,v0.00d1.80
8.298758e+02,5.086718e-05,0.00036122416132264534,v0.00d1.80
8.320521e+02,5.191930e-05,0.0003636280517034068,v0.00d1.80
8.342285e+02,5.297314e-05,0.00036603437515030047,v0.00d1.80
8.364048e+02,5.404173e-05,0.0003684614436873747,v0.00d1.80
8.385812e+02,5.511031e-05,0.00037088851222444883,v0.00d1.80
8.407575e+02,5.618472e-05,0.0003733241785571143,v0.00d1.80
8.429339e+02,5.727004e-05,0.0003757759486973948,v0.00d1.80
8.451102e+02,5.835536e-05,0.0003782277188376753,v0.00d1.80
8.472866e+02,5.945064e-05,0.00038069651462925845,v0.00d1.80
8.494629e+02,6.055282e-05,0.00038317708517034057,v0.00d1.80
8.516393e+02,6.165500e-05,0.0003856576557114229,v0.00d1.80
8.538156e+02,6.277103e-05,0.00038815738116232455,v0.00d1.80
8.559920e+02,6.388982e-05,0.00039066091222444873,v0.00d1.80
8.581683e+02,6.500992e-05,0.0003931668897795591,v0.00d1.80
8.603447e+02,6.614575e-05,0.0003957020505010019,v0.00d1.80
8.625210e+02,6.728157e-05,0.00039823721122244493,v0.00d1.80
8.646974e+02,6.842283e-05,0.00040078208897795583,v0.00d1.80
8.668737e+02,6.957562e-05,0.0004033475735470943,v0.00d1.80
8.690501e+02,7.072841e-05,0.00040591305811623246,v0.00d1.80
8.712265e+02,7.189081e-05,0.00040849685771543096,v0.00d1.80
8.734028e+02,7.306065e-05,0.0004110948424849699,v0.00d1.80
8.755792e+02,7.423049e-05,0.0004136928272545089,v0.00d1.80
8.777555e+02,7.541396e-05,0.00041631650100200406,v0.00d1.80
8.799319e+02,7.660069e-05,0.00041894633306613225,v0.00d1.80
8.821082e+02,7.778830e-05,0.00042157785691382773,v0.00d1.80
8.842846e+02,7.899256e-05,0.00042424171262525043,v0.00d1.80
8.864609e+02,8.019681e-05,0.0004269055683366732,v0.00d1.80
8.886373e+02,8.140613e-05,0.00042957960981963926,v0.00d1.80
8.908136e+02,8.262768e-05,0.0004322782509018035,v0.00d1.80
8.929900e+02,8.384923e-05,0.000434976891983968,v0.00d1.80
8.951663e+02,8.508014e-05,0.0004376946220440881,v0.00d1.80
8.973427e+02,8.631916e-05,0.00044042888276553095,v0.00d1.80
8.995190e+02,8.755817e-05,0.00044316314348697393,v0.00d1.80
9.016954e+02,8.881091e-05,0.0004459258302605209,v0.00d1.80
9.038717e+02,9.006754e-05,0.0004486965811623247,v0.00d1.80
9.060481e+02,9.132847e-05,0.0004534562090180339,v0.00d1.80
9.082244e+02,9.277944e-05,0.0005462236420841704,v0.00d1.80
9.104008e+02,9.423042e-05,0.0006389910751502996,v0.00d1.80
9.125772e+02,9.580923e-05,0.0007086180641282567,v0.00d1.80
9.147535e+02,9.774222e-05,0.0007141267392785571,v0.00d1.80
9.169299e+02,9.967522e-05,0.0007196354144288576,v0.00d1.80
9.191062e+02,1.016266e-04,0.0007251722242484971,v0.00d1.80
9.212826e+02,1.035958e-04,0.0007307362513026052,v0.00d1.80
9.234589e+02,1.055649e-04,0.0007363002783567136,v0.00d1.80
9.256353e+02,1.075614e-04,0.0007419072312625251,v0.00d1.80
9.278116e+02,1.095668e-04,0.00074752838757515,v0.00d1.80
9.299880e+02,1.115723e-04,0.0007531495438877755,v0.00d1.80
9.321643e+02,1.136141e-04,0.0007588292452905809,v0.00d1.80
9.343407e+02,1.156560e-04,0.0007645092719438878,v0.00d1.80
9.365170e+02,1.177067e-04,0.0007702036807615228,v0.00d1.80
9.386934e+02,1.197852e-04,0.0007759442462925849,v0.00d1.80
9.408697e+02,1.218637e-04,0.0007816848118236473,v0.00d1.80
9.430461e+02,1.239599e-04,0.0007874552781563124,v0.00d1.80
9.452224e+02,1.260753e-04,0.0007932580511022045,v0.00d1.80
9.473988e+02,1.281906e-04,0.000799060824048096,v0.00d1.80
9.495752e+02,1.303326e-04,0.0008049096176352702,v0.00d1.80
9.517515e+02,1.324848e-04,0.0008107759763527053,v0.00d1.80
9.539279e+02,1.346371e-04,0.0008166423350701405,v0.00d1.80
9.561042e+02,1.368252e-04,0.0008225717498997995,v0.00d1.80
9.582806e+02,1.390145e-04,0.0008285033266533065,v0.00d1.80
9.604569e+02,1.412117e-04,0.0008344488773547095,v0.00d1.80
9.626333e+02,1.434383e-04,0.0008404470142284569,v0.00d1.80
9.648096e+02,1.456649e-04,0.0008464451511022046,v0.00d1.80
9.669860e+02,1.479085e-04,0.0008524740667334669,v0.00d1.80
9.691623e+02,1.501726e-04,0.0008585401420841681,v0.00d1.80
9.713387e+02,1.524366e-04,0.0008646062174348698,v0.00d1.80
9.735150e+02,1.547269e-04,0.0008707206222444887,v0.00d1.80
9.756914e+02,1.570287e-04,0.0008768561232464931,v0.00d1.80
9.778677e+02,1.593304e-04,0.0008829916242484968,v0.00d1.80
9.800441e+02,1.616677e-04,0.0008891934899799595,v0.00d1.80
9.822204e+02,1.640073e-04,0.0008953996498997995,v0.00d1.80
9.843968e+02,1.663538e-04,0.0009016189238476953,v0.00d1.80
9.865731e+02,1.687315e-04,0.000907897012224449,v0.00d1.80
9.887495e+02,1.711091e-04,0.0009141751006012023,v0.00d1.80
9.909259e+02,1.735031e-04,0.0009204843593186371,v0.00d1.80
9.931022e+02,1.759190e-04,0.0009268357182364729,v0.00d1.80
9.952786e+02,1.783349e-04,0.0009331870771543088,v0.00d1.80
9.974549e+02,1.807766e-04,0.0009395882182364729,v0.00d1.80
9.996313e+02,1.832310e-04,0.0009460140446893784,v0.00d1.80
1.001808e+03,1.856853e-04,0.0009524398711422845,v0.00d1.80
1.003984e+03,1.881750e-04,0.0009589347066132262,v0.00d1.80
1.006160e+03,1.906682e-04,0.0009654362338677356,v0.00d1.80
1.008337e+03,1.931673e-04,0.0009719496625250501,v0.00d1.80
1.010513e+03,1.956993e-04,0.0009785281238476951,v0.00d1.80
1.012689e+03,1.982314e-04,0.0009851065851703407,v0.00d1.80
1.014866e+03,2.007790e-04,0.0009917161551102201,v0.00d1.80
1.017042e+03,2.033502e-04,0.0009983728200400803,v0.00d1.80
1.019218e+03,2.059213e-04,0.0010050294849699398,v0.00d1.80
1.021395e+03,2.085178e-04,0.0010117368737474946,v0.00d1.80
1.023571e+03,2.111284e-04,0.0010184726853707416,v0.00d1.80
1.025747e+03,2.137390e-04,0.0010252084969939877,v0.00d1.80
1.027924e+03,2.163846e-04,0.001032015490981964,v0.00d1.80
1.030100e+03,2.190349e-04,0.0010388318276553104,v0.00d1.80
1.032277e+03,2.216901e-04,0.0010456585350701398,v0.00d1.80
1.034453e+03,2.243802e-04,0.0010525564849699397,v0.00d1.80
1.036629e+03,2.270703e-04,0.0010594544348697396,v0.00d1.80
1.038806e+03,2.297752e-04,0.0010663831322645291,v0.00d1.80
1.040982e+03,2.325054e-04,0.001073364146292585,v0.00d1.80
