# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=CGS => separate p/e => code, pFactor=8.262445e-40, eFactor=7.425915e-19
# 9.493355079931099e22 (code_units),1.e-9 (code_units),1.6588109116744015e6
8.358281e-17,7.865929e-28,1.7571025933571968e6
8.910376e-17,8.332014e-28,1.8612185989499362e6
9.503938e-17,8.825717e-28,1.9715041005451765e6
1.014265e-16,9.348674e-28,2.0883247116489897e6
1.082933e-16,9.902617e-28,2.2120676370723066e6
1.156877e-16,1.048938e-27,2.343143135840803e6
1.236471e-16,1.111092e-27,2.4819856920809844e6
1.322183e-16,1.176928e-27,2.6290555551994084e6
1.414546e-16,1.246666e-27,2.7848403237932217e6
1.514072e-16,1.320535e-27,2.949856370614947e6
1.621380e-16,1.398782e-27,3.124650759020546e6
1.737062e-16,1.481665e-27,3.3098029500651e6
1.861890e-16,1.569459e-27,3.5059267235805406e6
1.996531e-16,1.662455e-27,3.7136722674430264e6
2.141826e-16,1.760962e-27,3.9337282711208006e6
2.298809e-16,1.865306e-27,4.166824269684602e6
2.468057e-16,1.975832e-27,4.413732980846427e6
2.650988e-16,2.092907e-27,4.675272983881414e6
2.848628e-16,2.216920e-27,4.952311334126119e6
3.061925e-16,2.348281e-27,5.245766427372351e6
3.292697e-16,2.487425e-27,5.556611218507095e6
3.541828e-16,2.634814e-27,5.885876148795017e6
3.811101e-16,2.790937e-27,6.234652858100191e6
4.102686e-16,2.956310e-27,6.6040977470382275e6
4.416997e-16,3.131483e-27,6.995435366031375e6
4.757388e-16,3.317035e-27,7.40996340801719e6
5.125557e-16,3.513581e-27,7.849056104248071e6
5.523013e-16,3.721774e-27,8.314169040194484e6
5.953716e-16,3.942303e-27,8.806844577406393e6
6.418735e-16,4.175899e-27,9.32871579069368e6
6.921709e-16,4.423337e-27,9.881513073655816e6
7.467024e-16,4.685436e-27,1.046706950777902e7
8.054427e-16,4.963065e-27,1.108732564621258e7
8.691224e-16,5.257146e-27,1.1744338812499741e7
9.380215e-16,5.568651e-27,1.2440287095130082e7
1.012382e-15,5.898614e-27,1.3177477492164385e7
1.093022e-15,6.248129e-27,1.395835510024475e7
1.180053e-15,6.618354e-27,1.4785508048644818e7
1.274196e-15,7.010516e-27,1.5661679313286511e7
1.376308e-15,7.425915e-27,1.6589774704077216e7
1.486198e-15,7.865929e-27,1.757286936869855e7
1.605365e-15,8.332014e-27,1.8614225084479637e7
1.734272e-15,8.825717e-27,1.9717294029762387e7
1.873313e-15,9.348674e-27,2.0885732644707806e7
2.024101e-15,9.902617e-27,2.212341726927625e7
2.186725e-15,1.048938e-26,2.3434449596032362e7
2.362566e-15,1.111092e-26,2.4823177839112647e7
2.553258e-15,1.176928e-26,2.6294208426518723e7
2.758249e-15,1.246666e-26,2.7852414393170822e7
2.980474e-15,1.320535e-26,2.9502967352910027e7
3.220696e-15,1.398782e-26,3.1251338896172244e7
3.479553e-15,1.481665e-26,3.310332426678993e7
3.760097e-15,1.569459e-26,3.506506904222304e7
4.062308e-15,1.662455e-26,3.714307359800064e7
4.388724e-15,1.760962e-26,3.934423094549249e7
4.742291e-15,1.865306e-26,4.167584357081859e7
5.121696e-15,1.975832e-26,4.414563342820092e7
5.532305e-15,2.092907e-26,4.676180053208665e7
5.975213e-15,2.216920e-26,4.953301727499146e7
6.451295e-15,2.348281e-26,5.246846901871911e7
6.965980e-15,2.487425e-26,5.557789975717875e7
7.519264e-15,2.634814e-26,5.88716121912696e7
8.116367e-15,2.790937e-26,6.23605349879605e7
8.763574e-15,2.956310e-26,6.605624620306084e7
9.459306e-15,3.131483e-26,6.997098259199546e7
1.021407e-14,3.317035e-26,7.411774722227061e7
1.103043e-14,3.513581e-26,7.851028601456457e7
1.191044e-14,3.721774e-26,8.316315745189647e7
1.286471e-14,3.942303e-26,8.809181125648786e7
1.389295e-14,4.175899e-26,9.331257407553639e7
1.500405e-14,4.423337e-26,9.884277085154101e7
1.620834e-14,4.685436e-26,1.0470075682837644e8
1.750120e-14,4.963065e-26,1.1090592175343029e8
1.890176e-14,5.257146e-26,1.1747888673204902e8
2.041425e-14,5.568651e-26,1.2444144003851424e8
2.204236e-14,5.898614e-26,1.3181665741979097e8
2.380576e-14,6.248129e-26,1.3962903742820495e8
2.570371e-14,6.618354e-26,1.479044550111661e8
2.775255e-14,7.010516e-26,1.5667037836049688e8
2.997110e-14,7.425915e-26,1.6595591002990982e8
3.235075e-14,7.865929e-26,1.7579177453984076e8
3.492648e-14,8.332014e-26,1.8621067588875553e8
3.770572e-14,8.825717e-26,1.9724715023185518e8
4.069471e-14,9.348674e-26,2.0893777361025766e8
4.392863e-14,9.902617e-26,2.2132139545032185e8
4.740566e-14,1.048938e-25,2.3443902322225705e8
5.115484e-14,1.111092e-25,2.4833420916759247e8
5.520973e-14,1.176928e-25,2.6305309867061472e8
5.955499e-14,1.246666e-25,2.786443767046953e8
6.425365e-14,1.320535e-25,2.951599150991582e8
6.932000e-14,1.398782e-25,3.126544581157156e8
7.476702e-14,1.481665e-25,3.31185981610176e8
8.065965e-14,1.569459e-25,3.508160971106791e8
8.699762e-14,1.662455e-25,3.7160979398809737e8
9.383565e-14,1.760962e-25,3.936361295708462e8
1.012365e-13,1.865306e-25,4.169682756590769e8
1.091748e-13,1.975832e-25,4.416833729907237e8
1.177652e-13,2.092907e-25,4.678637017440819e8
1.270363e-13,2.216920e-25,4.9559603828658986e8
1.370135e-13,2.348281e-25,5.249722790435577e8
1.478154e-13,2.487425e-25,5.560901407460462e8
1.594414e-13,2.634814e-25,5.890526202862691e8
1.719907e-13,2.790937e-25,6.23969224034361e8
1.855780e-13,2.956310e-25,6.609559880586405e8
2.001563e-13,3.131483e-25,7.001351423792752e8
2.159359e-13,3.317035e-25,7.416372163072532e8
2.329650e-13,3.513581e-25,7.855997683778758e8
2.512849e-13,3.721774e-25,8.321684684485924e8
2.711087e-13,3.942303e-25,8.814983113994342e8
2.924291e-13,4.175899e-25,9.337525312309601e8
3.154218e-13,4.423337e-25,9.891047852286206e8
3.402879e-13,4.685436e-25,1.0477390932096475e9
3.669329e-13,4.963065e-25,1.1098491188304863e9
3.957263e-13,5.257146e-25,1.1756419478721266e9
4.267397e-13,5.568651e-25,1.2453356314279363e9
4.600296e-13,5.898614e-25,1.3191610653523645e9
4.959565e-13,6.248129e-25,1.397364097354294e9
5.344922e-13,6.618354e-25,1.4802034057117443e9
5.759271e-13,7.010516e-25,1.5679543665321374e9
6.205739e-13,7.425915e-25,1.6609087834272885e9
6.682051e-13,7.865929e-25,1.7593734390809684e9
7.193532e-13,8.332014e-25,1.8636768058678727e9
7.739471e-13,8.825717e-25,1.974164396609138e9
8.317145e-13,9.348674e-25,2.091202002646376e9
8.925366e-13,9.902617e-25,2.2151792916707335e9
9.550983e-13,1.048938e-24,2.3465062382926216e9
1.015755e-12,1.111092e-24,2.485620824170958e9
1.087289e-12,1.176928e-24,2.6329887860974813e9
1.169607e-12,1.246666e-24,2.7890927456349807e9
1.259792e-12,1.320535e-24,2.9544543364687705e9
1.357603e-12,1.398782e-24,3.1296217371576e9
1.463109e-12,1.481665e-24,3.315175309376647e9
1.577458e-12,1.569459e-24,3.5117339099192834e9
1.700626e-12,1.662455e-24,3.71994741903015e9
1.833616e-12,1.760962e-24,3.940508699772472e9
1.977609e-12,1.865306e-24,4.1741520913634934e9
2.132106e-12,1.975832e-24,4.421647976878857e9
2.299294e-12,2.092907e-24,4.683823948393493e9
2.479678e-12,2.216920e-24,4.961548903913672e9
2.673696e-12,2.348281e-24,5.255742804001198e9
2.883587e-12,2.487425e-24,5.567387672912149e9
3.109305e-12,2.634814e-24,5.897513422435483e9
3.352727e-12,2.790937e-24,6.247219180697904e9
3.616018e-12,2.956310e-24,6.617669979968911e9
3.898284e-12,3.131483e-24,7.01008623217603e9
4.203521e-12,3.317035e-24,7.425781811204913e9
4.532657e-12,3.513581e-24,7.86613430661548e9
4.886508e-12,3.721774e-24,8.332602188850468e9
5.269140e-12,3.942303e-24,8.826744124457788e9
5.680494e-12,4.175899e-24,9.350192377945267e9
6.123971e-12,4.423337e-24,9.904690867489391e9
6.603478e-12,4.685436e-24,1.0492088251592077e10
7.117431e-12,4.963065e-24,1.111431790303063e10
7.673125e-12,5.257146e-24,1.1773466125005901e10
8.272322e-12,5.568651e-24,1.2471717169743534e10
8.916545e-12,5.898614e-24,1.3211383399534271e10
9.613144e-12,6.248129e-24,1.3994939192702847e10
1.036198e-11,6.618354e-24,1.482497151540838e10
1.116910e-11,7.010516e-24,1.570424769917089e10
1.204143e-11,7.425915e-24,1.663570156066189e10
1.297580e-11,7.865929e-24,1.7622395792751007e10
1.398475e-11,8.332014e-24,1.8667644161197243e10
1.507054e-11,8.825717e-24,1.9774910171166924e10
1.623464e-11,9.348674e-24,2.094786003826625e10
1.748792e-11,9.902617e-24,2.2190422295311375e10
1.882652e-11,1.048938e-23,2.3506696411234882e10
2.025405e-11,1.111092e-23,2.4901073460166023e10
2.176675e-11,1.176928e-23,2.6378208787763336e10
2.295831e-11,1.246666e-23,2.7943017770976505e10
2.458351e-11,1.320535e-23,2.960068223474643e10
2.641050e-11,1.398782e-23,3.1356692535420193e10
2.840248e-11,1.481665e-23,3.3216873984524284e10
3.056303e-11,1.569459e-23,3.518746846763175e10
3.288222e-11,1.662455e-23,3.727497329161709e10
3.536453e-11,1.760962e-23,3.9486355236487686e10
3.799267e-11,1.865306e-23,4.182899222462683e10
3.949604e-11,1.975832e-23,4.431047184575437e10
4.253177e-11,2.092907e-23,4.6939388606501854e10
4.581594e-11,2.216920e-23,4.972433680292033e10
4.935444e-11,2.348281e-23,5.267453591820546e10
5.318699e-11,2.487425e-23,5.579989518755674e10
5.731267e-11,2.634814e-23,5.9110715458262566e10
6.176417e-11,2.790937e-23,6.261806385815737e10
6.657941e-11,2.956310e-23,6.633367730627986e10
7.174297e-11,3.131483e-23,7.026973042207849e10
7.732454e-11,3.317035e-23,7.443951835911862e10
8.334005e-11,3.513581e-23,7.885685681546455e10
8.980259e-11,3.721774e-23,8.353636602291017e10
9.678124e-11,3.942303e-23,8.849379103587302e10
1.042714e-10,4.175899e-23,9.374545612170232e10
1.123264e-10,4.423337e-23,9.930893237338214e10
1.210036e-10,4.685436e-23,1.0520285599592418e11
1.302567e-10,4.963065e-23,1.1144649923857509e11
1.401710e-10,5.257146e-23,1.180609897776039e11
1.507010e-10,5.568651e-23,1.2506821290351602e11
1.616880e-10,5.898614e-23,1.3249129335754875e11
1.665413e-10,6.248129e-23,1.4035462335785733e11
1.781158e-10,6.618354e-23,1.4868508539235117e11
1.911825e-10,7.010516e-23,1.575101216416016e11
2.054086e-10,7.425915e-23,1.6685935724825687e11
2.206307e-10,7.865929e-23,1.7676334817830206e11
2.369170e-10,8.332014e-23,1.8725568352689453e11
2.542859e-10,8.825717e-23,1.983711089638839e11
2.727828e-10,9.348674e-23,2.101463784586437e11
2.925433e-10,9.902617e-23,2.226212107233709e11
3.136420e-10,1.048938e-22,2.3583661972928827e11
3.363431e-10,1.111092e-22,2.4983690531629892e11
3.608742e-10,1.176928e-22,2.646690591897425e11
3.871573e-10,1.246666e-22,2.8038145392200433e11
4.155130e-10,1.320535e-22,2.970274772397952e11
4.460319e-10,1.398782e-22,3.146622414957285e11
4.786726e-10,1.481665e-22,3.333440445292445e11
5.134960e-10,1.569459e-22,3.5313599245537213e11
5.499623e-10,1.662455e-22,3.7410301206172314e11
5.869572e-10,1.760962e-22,3.963153017960658e11
6.139868e-10,1.865306e-22,4.198476659761859e11
6.441165e-10,1.975832e-22,4.447769039863265e11
6.734802e-10,2.092907e-22,4.7118647042441986e11
6.972323e-10,2.216920e-22,4.9916271057117267e11
7.199464e-10,2.348281e-22,5.287975408545019e11
7.416150e-10,2.487425e-22,5.60190556294619e11
7.634105e-10,2.634814e-22,5.934444894592788e11
7.855212e-10,2.790937e-22,6.286704112109233e11
8.079561e-10,2.956310e-22,6.659860056969708e11
8.317779e-10,3.131483e-22,7.055128815886259e11
8.557651e-10,3.317035e-22,7.473845573836687e11
8.790300e-10,3.513581e-22,7.917391424049554e11
9.025435e-10,3.721774e-22,8.387226643398724e11
9.292423e-10,3.942303e-22,8.884928902642477e11
9.604268e-10,4.175899e-22,9.412137634174382e11
9.943530e-10,4.423337e-22,9.970612505159475e11
1.030431e-09,4.685436e-22,1.0562216765644595e12
1.069733e-09,4.963065e-22,1.1188887074531824e12
1.111568e-09,5.257146e-22,1.1852732484166296e12
1.156516e-09,5.568651e-22,1.2555948339987932e12
1.205140e-09,5.898614e-22,1.3300859662871726e12
1.257167e-09,6.248129e-22,1.408996150463002e12
1.313494e-09,6.618354e-22,1.4925853136331335e12
1.374175e-09,7.010516e-22,1.5811321857845618e12
1.439349e-09,7.425915e-22,1.6749321451104048e12
1.510152e-09,7.865929e-22,1.7742930497454473e12
1.586279e-09,8.332014e-22,1.879548747871374e12
1.668440e-09,8.825717e-22,1.991047683349434e12
1.757207e-09,9.348674e-22,2.109158837930895e12
1.852561e-09,9.902617e-22,2.2342776032562188e12
1.954657e-09,1.048938e-21,2.366816653038281e12
2.063422e-09,1.111092e-21,2.5072176618620854e12
2.180219e-09,1.176928e-21,2.6559488688928506e12
2.308725e-09,1.246666e-21,2.8134987646982705e12
2.448673e-09,1.320535e-21,2.980397005884346e12
2.600695e-09,1.398782e-21,3.1571965158730127e12
2.764984e-09,1.481665e-21,3.344482648412227e12
2.942538e-09,1.569459e-21,3.5428824669845205e12
3.134074e-09,1.662455e-21,3.753050640208668e12
3.340790e-09,1.760962e-21,3.9756881776373784e12
3.564237e-09,1.865306e-21,4.211538266544628e12
3.804592e-09,1.975832e-21,4.461375924630856e12
4.064255e-09,2.092907e-21,4.726040929697814e12
4.344334e-09,2.216920e-21,5.006410278203348e12
4.645710e-09,2.348281e-21,5.303412288730523e12
4.971324e-09,2.487425e-21,5.618042350951112e12
5.321433e-09,2.634814e-21,5.951338443161582e12
5.698584e-09,2.790937e-21,6.304412989974764e12
6.105928e-09,2.956310e-21,6.678445621107524e12
6.542286e-09,3.131483e-21,7.074664300912198e12
7.013414e-09,3.317035e-21,7.494403079279861e12
7.520632e-09,3.513581e-21,7.939052804048618e12
8.064916e-09,3.721774e-21,8.410085397774738e12
8.652307e-09,3.942303e-21,8.909081830569723e12
9.282381e-09,4.175899e-21,9.43768709835914e12
