# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# P (code_units),e (code_units),n,muB
8.332902e-31,5.799073e-18,4.73e-15,926.1577167020358
8.332902e-30,5.825195e-18,4.76e-15,924.4661764719109
8.332902e-29,6.008048e-18,4.91e-15,924.3564154914355
1.000471e-27,8.567999e-18,6.99e-15,925.9547926689233
1.157202e-26,1.209446e-17,9.9e-15,922.8665665395677
1.402749e-25,3.317487e-17,2.72e-14,921.3569891899343
4.806439e-24,1.564705e-16,1.27e-13,930.7139655974174
1.569929e-22,8.489633e-16,6.93e-13,925.4294640625254
8.045560e-21,7.705975e-15,6.29e-12,925.4755290562798
4.101146e-20,1.935636e-14,1.58e-11,925.4546823297468
2.006166e-19,4.858682e-14,3.97e-11,924.5222052755668
9.508389e-19,1.219895e-13,9.98e-11,923.3850529178359
4.336243e-18,3.056268e-13,2.51e-10,919.8381501115538
1.914739e-17,7.705975e-13,6.29e-10,925.4975584880765
8.045560e-17,1.935636e-12,1.58e-09,925.4911883797469
3.239122e-16,4.858682e-12,3.97e-09,924.580022468514
4.336243e-16,6.112536e-12,5e-09,923.56991356
1.185936e-15,1.222507e-11,9.98e-09,925.4448775751504
3.160756e-15,2.437178e-11,1.99e-08,925.2902860804021
8.306780e-15,4.858682e-11,3.97e-08,924.6764507304787
2.149836e-14,9.717365e-11,7.92e-08,927.058084078283
5.511731e-14,1.938249e-10,1.58e-07,926.9651685443037
7.209658e-14,2.439790e-10,1.99e-07,926.4355933668342
1.345280e-13,3.866048e-10,3.15e-07,927.4603966666667
2.502483e-13,6.138658e-10,5e-07,927.8290842800002
3.421975e-13,7.705975e-10,6.29e-07,925.8855362480128
4.153390e-13,9.717365e-10,7.92e-07,927.2491852272726
5.668463e-13,1.222507e-09,9.98e-07,925.7841744488979
1.050102e-12,1.938249e-09,1.58e-06,927.2037130379748
1.946085e-12,3.082390e-09,2.51e-06,928.272553187251
3.604829e-12,4.884804e-09,3.97e-06,930.1748498740554
4.675829e-12,6.138658e-09,5e-06,928.1574413999998
6.347633e-12,7.732097e-09,6.29e-06,929.3741047694755
8.646365e-12,9.717365e-09,7.92e-06,927.6777301767678
1.175488e-11,1.225119e-08,9.98e-06,928.2221292585172
1.601275e-11,1.543807e-08,1.26e-05,926.531692777778
2.066246e-11,1.943473e-08,1.58e-05,930.1873925949369
2.821170e-11,2.445014e-08,1.99e-05,929.2160623115578
3.813804e-11,3.079934e-08,2.51e-05,928.09566374502
4.910926e-11,3.878718e-08,3.15e-05,931.3537488888892
6.687219e-11,4.884935e-08,3.97e-05,930.7862249370277
9.090438e-11,6.151014e-08,5e-05,930.6911586
1.235568e-10,7.744139e-08,6.29e-05,931.5419112877585
1.679641e-10,9.759526e-08,7.92e-05,932.4764369949495
2.144612e-10,1.228429e-07,9.98e-05,931.4608721442887
2.387546e-10,1.361314e-07,0.000110495,932.3183959455178
2.716683e-10,1.547349e-07,0.000125594,932.3282376546651
3.683195e-10,1.948951e-07,0.000158093,933.0302816063964
4.806439e-10,2.454646e-07,0.000198991,933.6679694559051
6.478243e-10,3.091742e-07,0.000250588,933.9841484827688
6.504365e-10,3.292541e-07,0.000266988,933.4350240460244
6.896194e-10,3.859518e-07,0.000312586,934.386140774059
7.523121e-10,4.879763e-07,0.000395082,934.4757885704742
8.123926e-10,5.879345e-07,0.000475878,934.5887962881243
8.933706e-10,7.181603e-07,0.000581173,934.6379553076277
1.005695e-09,8.829349e-07,0.000714267,934.8674753278538
1.154590e-09,1.085949e-06,0.000878559,934.7333468782402
1.306097e-08,1.246278e-05,0.01,942.4480800000002
3.395853e-08,2.494385e-05,0.02,943.4347300000002
7.314146e-08,3.744059e-05,0.03,944.6187100000002
1.436707e-07,4.995561e-05,0.04,946.1480175
2.455463e-07,6.249154e-05,0.05,947.854922
3.839926e-07,7.505097e-05,0.06,949.7492900000002
5.590097e-07,8.763653e-05,0.07,951.77897
7.732097e-07,1.002482e-04,0.08,953.9178862500002
1.026593e-06,1.128912e-04,0.09,956.1734777777779
1.324383e-06,1.255656e-04,0.1,958.550208
1.671805e-06,1.382713e-04,0.11,961.0509172727271
2.074083e-06,1.510110e-04,0.12,963.6939433333332
