p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02,0.000000e+00
1.095224e-15,3.000000e+01,5.767587e-07,7.530593e-12,9.210313e+02,0.000000e+00
1.199515e-15,3.000000e+01,6.296572e-07,8.221317e-12,9.211454e+02,0.000000e+00
1.313738e-15,3.000000e+01,6.875921e-07,8.977814e-12,9.212703e+02,0.000000e+00
1.438837e-15,3.000000e+01,7.510431e-07,9.806348e-12,9.214071e+02,0.000000e+00
1.575848e-15,3.000000e+01,8.205353e-07,1.071378e-11,9.215570e+02,0.000000e+00
1.725907e-15,3.000000e+01,8.966437e-07,1.170762e-11,9.217211e+02,0.000000e+00
1.890254e-15,3.000000e+01,9.799981e-07,1.279609e-11,9.219009e+02,0.000000e+00
2.070251e-15,3.000000e+01,1.071288e-06,1.398822e-11,9.220977e+02,0.000000e+00
2.267389e-15,3.000000e+01,1.171270e-06,1.529386e-11,9.223133e+02,0.000000e+00
2.483298e-15,3.000000e+01,1.280769e-06,1.672383e-11,9.225495e+02,0.000000e+00
2.719767e-15,3.000000e+01,1.400693e-06,1.828997e-11,9.228081e+02,0.000000e+00
2.978754e-15,3.000000e+01,1.532034e-06,2.000524e-11,9.230914e+02,0.000000e+00
3.262403e-15,3.000000e+01,1.675877e-06,2.188385e-11,9.234016e+02,0.000000e+00
3.573061e-15,3.000000e+01,1.833413e-06,2.394135e-11,9.237414e+02,0.000000e+00
3.913302e-15,3.000000e+01,2.005944e-06,2.619477e-11,9.241136e+02,0.000000e+00
4.285941e-15,3.000000e+01,2.194898e-06,2.866277e-11,9.245211e+02,0.000000e+00
4.694065e-15,3.000000e+01,2.401837e-06,3.136578e-11,9.249675e+02,0.000000e+00
5.141052e-15,3.000000e+01,2.485726e-06,3.245483e-11,9.250938e+02,0.000000e+00
5.630603e-15,3.000000e+01,2.522499e-06,3.293497e-11,9.250940e+02,0.000000e+00
6.166770e-15,3.000000e+01,2.562774e-06,3.346084e-11,9.250942e+02,0.000000e+00
6.753994e-15,3.000000e+01,2.606884e-06,3.403678e-11,9.250944e+02,0.000000e+00
7.397135e-15,3.000000e+01,2.655194e-06,3.466757e-11,9.250946e+02,0.000000e+00
8.101518e-15,3.000000e+01,2.708104e-06,3.535842e-11,9.250949e+02,0.000000e+00
8.872976e-15,3.000000e+01,2.766053e-06,3.611506e-11,9.250952e+02,0.000000e+00
9.717895e-15,3.000000e+01,2.829519e-06,3.694375e-11,9.250956e+02,0.000000e+00
1.064327e-14,3.000000e+01,2.899029e-06,3.785135e-11,9.250959e+02,0.000000e+00
1.165676e-14,3.000000e+01,2.975158e-06,3.884537e-11,9.250963e+02,0.000000e+00
1.276676e-14,3.000000e+01,3.058536e-06,3.993405e-11,9.250968e+02,0.000000e+00
1.398247e-14,3.000000e+01,3.149853e-06,4.112640e-11,9.250972e+02,0.000000e+00
1.531393e-14,3.000000e+01,3.249866e-06,4.243228e-11,9.250978e+02,0.000000e+00
1.677218e-14,3.000000e+01,3.359402e-06,4.386252e-11,9.250983e+02,0.000000e+00
1.836929e-14,3.000000e+01,3.479368e-06,4.542895e-11,9.250990e+02,0.000000e+00
2.011849e-14,3.000000e+01,3.610757e-06,4.714455e-11,9.250996e+02,0.000000e+00
2.203425e-14,3.000000e+01,3.754656e-06,4.902350e-11,9.251004e+02,0.000000e+00
2.413243e-14,3.000000e+01,3.912258e-06,5.108138e-11,9.251012e+02,0.000000e+00
2.643041e-14,3.000000e+01,4.084867e-06,5.333522e-11,9.251021e+02,0.000000e+00
2.894722e-14,3.000000e+01,4.273910e-06,5.580368e-11,9.251031e+02,0.000000e+00
3.170368e-14,3.000000e+01,4.480955e-06,5.850719e-11,9.251042e+02,0.000000e+00
3.472263e-14,3.000000e+01,4.707713e-06,6.146815e-11,9.251054e+02,0.000000e+00
3.802905e-14,3.000000e+01,4.956062e-06,6.471105e-11,9.251067e+02,0.000000e+00
4.165033e-14,3.000000e+01,5.228058e-06,6.826276e-11,9.251081e+02,0.000000e+00
4.561643e-14,3.000000e+01,5.525952e-06,7.215268e-11,9.251097e+02,0.000000e+00
4.996020e-14,3.000000e+01,5.852210e-06,7.641300e-11,9.251114e+02,0.000000e+00
5.471760e-14,3.000000e+01,6.209531e-06,8.107902e-11,9.251132e+02,0.000000e+00
5.992802e-14,3.000000e+01,6.600874e-06,8.618935e-11,9.251153e+02,0.000000e+00
6.563460e-14,3.000000e+01,7.029477e-06,9.178630e-11,9.251175e+02,0.000000e+00
7.188458e-14,3.000000e+01,7.498887e-06,9.791622e-11,9.251200e+02,0.000000e+00
7.872970e-14,3.000000e+01,8.012989e-06,1.046298e-10,9.251227e+02,0.000000e+00
8.622665e-14,3.000000e+01,8.576037e-06,1.119828e-10,9.251256e+02,0.000000e+00
9.443748e-14,3.000000e+01,9.192689e-06,1.200359e-10,9.251289e+02,0.000000e+00
1.034302e-13,3.000000e+01,9.868049e-06,1.288558e-10,9.251324e+02,0.000000e+00
1.132792e-13,3.000000e+01,1.060770e-05,1.385156e-10,9.251363e+02,0.000000e+00
1.240661e-13,3.000000e+01,1.141777e-05,1.490953e-10,9.251405e+02,0.000000e+00
1.358801e-13,3.000000e+01,1.230496e-05,1.606824e-10,9.251451e+02,0.000000e+00
1.488192e-13,3.000000e+01,1.327660e-05,1.733729e-10,9.251502e+02,0.000000e+00
1.629903e-13,3.000000e+01,1.434073e-05,1.872718e-10,9.251558e+02,0.000000e+00
1.785108e-13,3.000000e+01,1.550616e-05,2.024942e-10,9.251619e+02,0.000000e+00
1.955093e-13,3.000000e+01,1.678251e-05,2.191662e-10,9.251686e+02,0.000000e+00
2.141265e-13,3.000000e+01,1.818036e-05,2.374257e-10,9.251759e+02,0.000000e+00
2.345164e-13,3.000000e+01,1.971124e-05,2.574239e-10,9.251839e+02,0.000000e+00
2.568480e-13,3.000000e+01,2.138782e-05,2.793265e-10,9.251927e+02,0.000000e+00
2.813060e-13,3.000000e+01,2.322396e-05,3.033147e-10,9.252023e+02,0.000000e+00
3.080931e-13,3.000000e+01,2.523483e-05,3.295872e-10,9.252128e+02,0.000000e+00
3.374309e-13,3.000000e+01,2.743705e-05,3.583614e-10,9.252244e+02,0.000000e+00
3.695623e-13,3.000000e+01,2.984881e-05,3.898756e-10,9.252370e+02,0.000000e+00
4.047535e-13,3.000000e+01,3.249004e-05,4.243907e-10,9.252508e+02,0.000000e+00
4.432957e-13,3.000000e+01,3.538254e-05,4.621925e-10,9.252660e+02,0.000000e+00
4.855080e-13,3.000000e+01,3.855019e-05,5.035939e-10,9.252826e+02,0.000000e+00
5.317399e-13,3.000000e+01,4.201915e-05,5.489378e-10,9.253007e+02,0.000000e+00
5.823742e-13,3.000000e+01,4.581803e-05,5.985994e-10,9.253206e+02,0.000000e+00
6.378302e-13,3.000000e+01,4.997817e-05,6.529900e-10,9.253424e+02,0.000000e+00
6.985668e-13,3.000000e+01,5.453388e-05,7.125599e-10,9.253663e+02,0.000000e+00
7.650870e-13,3.000000e+01,5.952271e-05,7.778023e-10,9.253924e+02,0.000000e+00
8.379415e-13,3.000000e+01,6.498576e-05,8.492573e-10,9.254211e+02,0.000000e+00
9.177335e-13,3.000000e+01,7.096803e-05,9.275165e-10,9.254524e+02,0.000000e+00
1.005124e-12,3.000000e+01,7.751876e-05,1.013228e-09,9.254868e+02,0.000000e+00
1.100835e-12,3.000000e+01,8.469184e-05,1.107101e-09,9.255244e+02,0.000000e+00
1.205661e-12,3.000000e+01,9.254625e-05,1.209913e-09,9.255656e+02,0.000000e+00
1.320469e-12,3.000000e+01,1.011465e-04,1.322515e-09,9.256107e+02,0.000000e+00
1.446209e-12,3.000000e+01,1.105633e-04,1.445840e-09,9.256602e+02,0.000000e+00
1.583922e-12,3.000000e+01,1.208738e-04,1.580908e-09,9.257143e+02,0.000000e+00
1.734750e-12,3.000000e+01,1.321625e-04,1.728838e-09,9.257736e+02,0.000000e+00
1.899939e-12,3.000000e+01,1.445220e-04,1.890854e-09,9.258385e+02,0.000000e+00
2.080859e-12,3.000000e+01,1.580532e-04,2.068298e-09,9.259096e+02,0.000000e+00
2.279006e-12,3.000000e+01,1.728668e-04,2.262639e-09,9.259875e+02,0.000000e+00
2.496022e-12,3.000000e+01,1.890837e-04,2.475486e-09,9.260728e+02,0.000000e+00
2.733703e-12,3.000000e+01,2.068360e-04,2.708601e-09,9.261662e+02,0.000000e+00
2.994016e-12,3.000000e+01,2.262682e-04,2.963914e-09,9.262685e+02,0.000000e+00
3.279118e-12,3.000000e+01,2.475382e-04,3.243539e-09,9.263805e+02,0.000000e+00
3.591368e-12,3.000000e+01,2.708185e-04,3.549791e-09,9.265033e+02,0.000000e+00
3.933352e-12,3.000000e+01,2.962974e-04,3.885205e-09,9.266377e+02,0.000000e+00
4.307901e-12,3.000000e+01,3.241808e-04,4.252559e-09,9.267849e+02,0.000000e+00
4.718116e-12,3.000000e+01,3.537087e-04,4.640533e-09,9.269142e+02,0.000000e+00
5.167393e-12,3.000000e+01,3.852081e-04,5.055990e-09,9.270349e+02,0.000000e+00
5.659452e-12,3.000000e+01,4.196756e-04,5.511008e-09,9.271670e+02,0.000000e+00
6.198366e-12,3.000000e+01,4.573876e-04,6.009354e-09,9.273117e+02,0.000000e+00
6.788599e-12,3.000000e+01,4.986456e-04,6.555155e-09,9.274702e+02,0.000000e+00
7.435035e-12,3.000000e+01,5.437785e-04,7.152930e-09,9.276438e+02,0.000000e+00
8.143028e-12,3.000000e+01,5.931446e-04,7.807626e-09,9.278339e+02,0.000000e+00
8.918438e-12,3.000000e+01,6.471342e-04,8.524666e-09,9.280421e+02,0.000000e+00
9.767686e-12,3.000000e+01,7.061723e-04,9.309984e-09,9.282701e+02,0.000000e+00
1.069780e-11,3.000000e+01,7.707216e-04,1.017008e-08,9.285199e+02,0.000000e+00
1.171649e-11,3.000000e+01,8.312248e-04,1.094675e-08,9.286370e+02,0.000000e+00
1.283218e-11,3.000000e+01,8.898424e-04,1.172591e-08,9.286976e+02,0.000000e+00
1.405411e-11,3.000000e+01,9.539592e-04,1.257926e-08,9.287641e+02,0.000000e+00
1.539239e-11,3.000000e+01,1.024083e-03,1.351387e-08,9.288368e+02,0.000000e+00
1.685812e-11,3.000000e+01,1.100765e-03,1.453748e-08,9.289165e+02,0.000000e+00
1.846341e-11,3.000000e+01,1.184608e-03,1.565856e-08,9.290038e+02,0.000000e+00
2.022157e-11,3.000000e+01,1.276266e-03,1.688639e-08,9.290993e+02,0.000000e+00
2.214714e-11,3.000000e+01,1.376448e-03,1.823114e-08,9.292040e+02,0.000000e+00
2.425608e-11,3.000000e+01,1.485929e-03,1.970395e-08,9.293187e+02,0.000000e+00
2.656583e-11,3.000000e+01,1.605545e-03,2.131700e-08,9.294442e+02,0.000000e+00
2.909553e-11,3.000000e+01,1.736204e-03,2.308365e-08,9.295817e+02,0.000000e+00
3.186612e-11,3.000000e+01,1.878892e-03,2.501853e-08,9.297323e+02,0.000000e+00
3.490054e-11,3.000000e+01,2.034673e-03,2.713765e-08,9.298973e+02,0.000000e+00
3.822390e-11,3.000000e+01,2.204699e-03,2.945857e-08,9.300780e+02,0.000000e+00
4.186373e-11,3.000000e+01,2.390211e-03,3.200049e-08,9.302758e+02,0.000000e+00
4.585015e-11,3.000000e+01,2.576972e-03,3.434374e-08,9.303774e+02,0.000000e+00
5.021618e-11,3.000000e+01,2.747243e-03,3.666346e-08,9.304243e+02,0.000000e+00
5.499796e-11,3.000000e+01,2.933191e-03,3.920407e-08,9.304756e+02,0.000000e+00
6.023507e-11,3.000000e+01,3.136203e-03,4.198660e-08,9.305318e+02,0.000000e+00
6.597089e-11,3.000000e+01,3.357779e-03,4.503410e-08,9.305933e+02,0.000000e+00
7.225289e-11,3.000000e+01,3.599540e-03,4.837180e-08,9.306607e+02,0.000000e+00
7.913309e-11,3.000000e+01,3.863230e-03,5.202732e-08,9.307345e+02,0.000000e+00
8.666844e-11,3.000000e+01,4.150728e-03,5.603094e-08,9.308154e+02,0.000000e+00
9.492135e-11,3.000000e+01,4.464053e-03,6.041580e-08,9.309039e+02,0.000000e+00
1.039601e-10,3.000000e+01,4.805367e-03,6.521820e-08,9.310009e+02,0.000000e+00
1.138596e-10,3.000000e+01,5.176986e-03,7.047790e-08,9.311071e+02,0.000000e+00
1.247018e-10,3.000000e+01,5.581379e-03,7.623845e-08,9.312234e+02,0.000000e+00
1.365763e-10,3.000000e+01,6.021176e-03,8.254754e-08,9.313508e+02,0.000000e+00
1.495817e-10,3.000000e+01,6.499168e-03,8.945741e-08,9.314903e+02,0.000000e+00
1.638254e-10,3.000000e+01,7.018308e-03,9.702527e-08,9.316432e+02,0.000000e+00
1.794255e-10,3.000000e+01,7.581706e-03,1.053138e-07,9.318105e+02,0.000000e+00
1.965111e-10,3.000000e+01,8.192627e-03,1.143915e-07,9.319938e+02,0.000000e+00
2.152236e-10,3.000000e+01,8.853092e-03,1.235221e-07,9.321421e+02,0.000000e+00
2.357180e-10,3.000000e+01,9.516930e-03,1.325058e-07,9.322386e+02,0.000000e+00
2.581640e-10,3.000000e+01,1.017670e-02,1.423450e-07,9.323444e+02,0.000000e+00
2.827473e-10,3.000000e+01,1.089190e-02,1.531211e-07,9.324602e+02,0.000000e+00
3.096716e-10,3.000000e+01,1.166694e-02,1.649234e-07,9.325870e+02,0.000000e+00
3.391598e-10,3.000000e+01,1.250602e-02,1.778494e-07,9.327259e+02,0.000000e+00
3.714559e-10,3.000000e+01,1.341349e-02,1.920064e-07,9.328781e+02,0.000000e+00
4.068273e-10,3.000000e+01,1.439382e-02,2.075115e-07,9.330447e+02,0.000000e+00
4.455670e-10,3.000000e+01,1.545157e-02,2.244930e-07,9.332272e+02,0.000000e+00
4.879956e-10,3.000000e+01,1.659135e-02,2.430915e-07,9.334271e+02,0.000000e+00
5.344644e-10,3.000000e+01,1.781778e-02,2.634611e-07,9.336460e+02,0.000000e+00
5.853581e-10,3.000000e+01,1.913177e-02,2.902568e-07,9.338604e+02,0.000000e+00
6.410982e-10,3.000000e+01,2.049398e-02,3.504108e-07,9.339215e+02,0.000000e+00
7.021460e-10,3.000000e+01,2.206931e-02,4.162928e-07,9.339883e+02,0.000000e+00
7.690070e-10,3.000000e+01,2.382807e-02,4.884484e-07,9.340616e+02,0.000000e+00
8.422348e-10,3.000000e+01,2.568866e-02,5.674750e-07,9.341418e+02,0.000000e+00
9.224357e-10,3.000000e+01,2.758177e-02,6.540267e-07,9.342296e+02,0.000000e+00
1.010274e-09,3.000000e+01,2.945678e-02,7.488202e-07,9.343258e+02,0.000000e+00
1.106476e-09,3.000000e+01,3.127859e-02,8.526404e-07,9.344312e+02,0.000000e+00
1.211839e-09,3.000000e+01,3.302362e-02,9.663466e-07,9.345466e+02,0.000000e+00
1.327234e-09,3.000000e+01,3.467652e-02,1.090880e-06,9.346729e+02,0.000000e+00
1.453619e-09,3.000000e+01,3.622777e-02,1.227273e-06,9.348113e+02,0.000000e+00
1.592038e-09,3.000000e+01,3.767204e-02,1.376653e-06,9.349629e+02,0.000000e+00
1.743638e-09,3.000000e+01,3.900697e-02,1.540258e-06,9.351290e+02,0.000000e+00
1.909674e-09,3.000000e+01,4.023230e-02,1.719442e-06,9.353108e+02,0.000000e+00
